名称	道具种类	具体类别	动画文件名	对应物件索引	宽度	高度	说明文字	详细类别
2级莲蓉	4	535	\spr\item\mid_autumn\lianrong.spr	347	1	1	中秋贡品，优质的2级莲蓉。	1
3级莲蓉	4	536	\spr\item\mid_autumn\lianrong.spr	347	1	1	中秋贡品，优质的3级莲蓉。	1
4级莲蓉	4	537	\spr\item\mid_autumn\lianrong.spr	347	1	1	中秋贡品，优质的4级莲蓉。	1
5级莲蓉	4	538	\spr\item\mid_autumn\lianrong.spr	347	1	1	中秋贡品，优质的5级莲蓉。	1
6级莲蓉	4	539	\spr\item\mid_autumn\lianrong.spr	347	1	1	中秋贡品，优质的6级莲蓉。	1
大马虎之北京之梦碎片(1/9)	4	540	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之北京之梦的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之北京之梦”。	1
大马虎之北京之梦碎片(2/9)	4	541	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之北京之梦的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之北京之梦”。	1
大马虎之北京之梦碎片(3/9)	4	542	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之北京之梦的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之北京之梦”。	1
大马虎之北京之梦碎片(4/9)	4	543	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之北京之梦的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之北京之梦”。	1
大马虎之北京之梦碎片(5/9)	4	544	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之北京之梦的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之北京之梦”。	1
大马虎之北京之梦碎片(6/9)	4	545	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之北京之梦的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之北京之梦”。	1
大马虎之北京之梦碎片(7/9)	4	546	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之北京之梦的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之北京之梦”。	1
大马虎之北京之梦碎片(8/9)	4	547	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之北京之梦的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之北京之梦”。	1
大马虎之北京之梦碎片(9/9)	4	548	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之北京之梦的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之北京之梦”。	1
大马虎之五色玉佩碎片(1/9)	4	549	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之五色玉佩的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之五色玉佩”。	1
大马虎之五色玉佩碎片(2/9)	4	550	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之五色玉佩的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之五色玉佩”。	1
大马虎之五色玉佩碎片(3/9)	4	551	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之五色玉佩的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之五色玉佩”。	1
大马虎之五色玉佩碎片(4/9)	4	552	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之五色玉佩的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之五色玉佩”。	1
大马虎之五色玉佩碎片(5/9)	4	553	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之五色玉佩的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之五色玉佩”。	1
大马虎之五色玉佩碎片(6/9)	4	554	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之五色玉佩的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之五色玉佩”。	1
大马虎之五色玉佩碎片(7/9)	4	555	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之五色玉佩的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之五色玉佩”。	1
大马虎之五色玉佩碎片(8/9)	4	556	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之五色玉佩的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之五色玉佩”。	1
大马虎之五色玉佩碎片(9/9)	4	557	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之五色玉佩的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之五色玉佩”。	1
大马虎之雅典之魂碎片(1/9)	4	558	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之雅典之魂的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之雅典之魂”。	1
大马虎之雅典之魂碎片(2/9)	4	559	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之雅典之魂的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之雅典之魂”。	1
大马虎之雅典之魂碎片(3/9)	4	560	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之雅典之魂的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之雅典之魂”。	1
大马虎之雅典之魂碎片(4/9)	4	561	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之雅典之魂的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之雅典之魂”。	1
大马虎之雅典之魂碎片(5/9)	4	562	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之雅典之魂的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之雅典之魂”。	1
大马虎之雅典之魂碎片(6/9)	4	563	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之雅典之魂的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之雅典之魂”。	1
大马虎之雅典之魂碎片(7/9)	4	564	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之雅典之魂的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之雅典之魂”。	1
大马虎之雅典之魂碎片(8/9)	4	565	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之雅典之魂的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之雅典之魂”。	1
大马虎之雅典之魂碎片(9/9)	4	566	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之雅典之魂的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之雅典之魂”。	1
大马虎之奔雷钻龙枪碎片(1/9)	4	567	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之奔雷钻龙枪的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之奔雷钻龙枪”。	1
大马虎之奔雷钻龙枪碎片(2/9)	4	568	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之奔雷钻龙枪的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之奔雷钻龙枪”。	1
大马虎之奔雷钻龙枪碎片(3/9)	4	569	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之奔雷钻龙枪的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之奔雷钻龙枪”。	1
大马虎之奔雷钻龙枪碎片(4/9)	4	570	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之奔雷钻龙枪的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之奔雷钻龙枪”。	1
大马虎之奔雷钻龙枪碎片(5/9)	4	571	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之奔雷钻龙枪的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之奔雷钻龙枪”。	1
大马虎之奔雷钻龙枪碎片(6/9)	4	572	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之奔雷钻龙枪的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之奔雷钻龙枪”。	1
大马虎之奔雷钻龙枪碎片(7/9)	4	573	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之奔雷钻龙枪的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之奔雷钻龙枪”。	1
大马虎之奔雷钻龙枪碎片(8/9)	4	574	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之奔雷钻龙枪的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之奔雷钻龙枪”。	1
大马虎之奔雷钻龙枪碎片(9/9)	4	575	\spr\item\citydefence\bigfragment.spr	347	1	1	大马虎之奔雷钻龙枪的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“大马虎之奔雷钻龙枪”。	1
伏魔之紫金棍碎片(1/9)	4	576	\spr\item\citydefence\bigfragment.spr	347	1	1	伏魔之紫金棍的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“伏魔之紫金棍”。	1
伏魔之紫金棍碎片(2/9)	4	577	\spr\item\citydefence\bigfragment.spr	347	1	1	伏魔之紫金棍的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“伏魔之紫金棍”。	1
伏魔之紫金棍碎片(3/9)	4	578	\spr\item\citydefence\bigfragment.spr	347	1	1	伏魔之紫金棍的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“伏魔之紫金棍”。	1
伏魔之紫金棍碎片(4/9)	4	579	\spr\item\citydefence\bigfragment.spr	347	1	1	伏魔之紫金棍的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“伏魔之紫金棍”。	1
伏魔之紫金棍碎片(5/9)	4	580	\spr\item\citydefence\bigfragment.spr	347	1	1	伏魔之紫金棍的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“伏魔之紫金棍”。	1
伏魔之紫金棍碎片(6/9)	4	581	\spr\item\citydefence\bigfragment.spr	347	1	1	伏魔之紫金棍的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“伏魔之紫金棍”。	1
伏魔之紫金棍碎片(7/9)	4	582	\spr\item\citydefence\bigfragment.spr	347	1	1	伏魔之紫金棍的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“伏魔之紫金棍”。	1
伏魔之紫金棍碎片(8/9)	4	583	\spr\item\citydefence\bigfragment.spr	347	1	1	伏魔之紫金棍的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“伏魔之紫金棍”。	1
伏魔之紫金棍碎片(9/9)	4	584	\spr\item\citydefence\bigfragment.spr	347	1	1	伏魔之紫金棍的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“伏魔之紫金棍”。	1
四空之降魔戒刀碎片(1/9)	4	585	\spr\item\citydefence\bigfragment.spr	347	1	1	四空之降魔戒刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“四空之降魔戒刀”。	1
四空之降魔戒刀碎片(2/9)	4	586	\spr\item\citydefence\bigfragment.spr	347	1	1	四空之降魔戒刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“四空之降魔戒刀”。	1
四空之降魔戒刀碎片(3/9)	4	587	\spr\item\citydefence\bigfragment.spr	347	1	1	四空之降魔戒刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“四空之降魔戒刀”。	1
四空之降魔戒刀碎片(4/9)	4	588	\spr\item\citydefence\bigfragment.spr	347	1	1	四空之降魔戒刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“四空之降魔戒刀”。	1
四空之降魔戒刀碎片(5/9)	4	589	\spr\item\citydefence\bigfragment.spr	347	1	1	四空之降魔戒刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“四空之降魔戒刀”。	1
四空之降魔戒刀碎片(6/9)	4	590	\spr\item\citydefence\bigfragment.spr	347	1	1	四空之降魔戒刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“四空之降魔戒刀”。	1
四空之降魔戒刀碎片(7/9)	4	591	\spr\item\citydefence\bigfragment.spr	347	1	1	四空之降魔戒刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“四空之降魔戒刀”。	1
四空之降魔戒刀碎片(8/9)	4	592	\spr\item\citydefence\bigfragment.spr	347	1	1	四空之降魔戒刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“四空之降魔戒刀”。	1
四空之降魔戒刀碎片(9/9)	4	593	\spr\item\citydefence\bigfragment.spr	347	1	1	四空之降魔戒刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“四空之降魔戒刀”。	1
撼天之金环大眼神锤碎片(1/9)	4	594	\spr\item\citydefence\bigfragment.spr	347	1	1	撼天之金环大眼神锤的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“撼天之金环大眼神锤”。	1
撼天之金环大眼神锤碎片(2/9)	4	595	\spr\item\citydefence\bigfragment.spr	347	1	1	撼天之金环大眼神锤的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“撼天之金环大眼神锤”。	1
撼天之金环大眼神锤碎片(3/9)	4	596	\spr\item\citydefence\bigfragment.spr	347	1	1	撼天之金环大眼神锤的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“撼天之金环大眼神锤”。	1
撼天之金环大眼神锤碎片(4/9)	4	597	\spr\item\citydefence\bigfragment.spr	347	1	1	撼天之金环大眼神锤的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“撼天之金环大眼神锤”。	1
撼天之金环大眼神锤碎片(5/9)	4	598	\spr\item\citydefence\bigfragment.spr	347	1	1	撼天之金环大眼神锤的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“撼天之金环大眼神锤”。	1
撼天之金环大眼神锤碎片(6/9)	4	599	\spr\item\citydefence\bigfragment.spr	347	1	1	撼天之金环大眼神锤的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“撼天之金环大眼神锤”。	1
撼天之金环大眼神锤碎片(7/9)	4	600	\spr\item\citydefence\bigfragment.spr	347	1	1	撼天之金环大眼神锤的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“撼天之金环大眼神锤”。	1
撼天之金环大眼神锤碎片(8/9)	4	601	\spr\item\citydefence\bigfragment.spr	347	1	1	撼天之金环大眼神锤的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“撼天之金环大眼神锤”。	1
撼天之金环大眼神锤碎片(9/9)	4	602	\spr\item\citydefence\bigfragment.spr	347	1	1	撼天之金环大眼神锤的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“撼天之金环大眼神锤”。	1
继业之奔雷钻龙枪碎片(1/9)	4	603	\spr\item\citydefence\bigfragment.spr	347	1	1	继业之奔雷钻龙枪的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“继业之奔雷钻龙枪”。	1
继业之奔雷钻龙枪碎片(2/9)	4	604	\spr\item\citydefence\bigfragment.spr	347	1	1	继业之奔雷钻龙枪的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“继业之奔雷钻龙枪”。	1
继业之奔雷钻龙枪碎片(3/9)	4	605	\spr\item\citydefence\bigfragment.spr	347	1	1	继业之奔雷钻龙枪的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“继业之奔雷钻龙枪”。	1
继业之奔雷钻龙枪碎片(4/9)	4	606	\spr\item\citydefence\bigfragment.spr	347	1	1	继业之奔雷钻龙枪的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“继业之奔雷钻龙枪”。	1
继业之奔雷钻龙枪碎片(5/9)	4	607	\spr\item\citydefence\bigfragment.spr	347	1	1	继业之奔雷钻龙枪的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“继业之奔雷钻龙枪”。	1
继业之奔雷钻龙枪碎片(6/9)	4	608	\spr\item\citydefence\bigfragment.spr	347	1	1	继业之奔雷钻龙枪的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“继业之奔雷钻龙枪”。	1
继业之奔雷钻龙枪碎片(7/9)	4	609	\spr\item\citydefence\bigfragment.spr	347	1	1	继业之奔雷钻龙枪的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“继业之奔雷钻龙枪”。	1
继业之奔雷钻龙枪碎片(8/9)	4	610	\spr\item\citydefence\bigfragment.spr	347	1	1	继业之奔雷钻龙枪的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“继业之奔雷钻龙枪”。	1
继业之奔雷钻龙枪碎片(9/9)	4	611	\spr\item\citydefence\bigfragment.spr	347	1	1	继业之奔雷钻龙枪的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“继业之奔雷钻龙枪”。	1
御龙之亮银宝刀碎片(1/9)	4	612	\spr\item\citydefence\bigfragment.spr	347	1	1	御龙之亮银宝刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“御龙之亮银宝刀”。	1
御龙之亮银宝刀碎片(2/9)	4	613	\spr\item\citydefence\bigfragment.spr	347	1	1	御龙之亮银宝刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“御龙之亮银宝刀”。	1
御龙之亮银宝刀碎片(3/9)	4	614	\spr\item\citydefence\bigfragment.spr	347	1	1	御龙之亮银宝刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“御龙之亮银宝刀”。	1
御龙之亮银宝刀碎片(4/9)	4	615	\spr\item\citydefence\bigfragment.spr	347	1	1	御龙之亮银宝刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“御龙之亮银宝刀”。	1
御龙之亮银宝刀碎片(5/9)	4	616	\spr\item\citydefence\bigfragment.spr	347	1	1	御龙之亮银宝刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“御龙之亮银宝刀”。	1
御龙之亮银宝刀碎片(6/9)	4	617	\spr\item\citydefence\bigfragment.spr	347	1	1	御龙之亮银宝刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“御龙之亮银宝刀”。	1
御龙之亮银宝刀碎片(7/9)	4	618	\spr\item\citydefence\bigfragment.spr	347	1	1	御龙之亮银宝刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“御龙之亮银宝刀”。	1
御龙之亮银宝刀碎片(8/9)	4	619	\spr\item\citydefence\bigfragment.spr	347	1	1	御龙之亮银宝刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“御龙之亮银宝刀”。	1
御龙之亮银宝刀碎片(9/9)	4	620	\spr\item\citydefence\bigfragment.spr	347	1	1	御龙之亮银宝刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“御龙之亮银宝刀”。	1
无间之倚天剑碎片(1/9)	4	621	\spr\item\citydefence\bigfragment.spr	347	1	1	无间之倚天剑的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“无间之倚天剑”。	1
无间之倚天剑碎片(2/9)	4	622	\spr\item\citydefence\bigfragment.spr	347	1	1	无间之倚天剑的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“无间之倚天剑”。	1
无间之倚天剑碎片(3/9)	4	623	\spr\item\citydefence\bigfragment.spr	347	1	1	无间之倚天剑的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“无间之倚天剑”。	1
无间之倚天剑碎片(4/9)	4	624	\spr\item\citydefence\bigfragment.spr	347	1	1	无间之倚天剑的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“无间之倚天剑”。	1
无间之倚天剑碎片(5/9)	4	625	\spr\item\citydefence\bigfragment.spr	347	1	1	无间之倚天剑的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“无间之倚天剑”。	1
无间之倚天剑碎片(6/9)	4	626	\spr\item\citydefence\bigfragment.spr	347	1	1	无间之倚天剑的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“无间之倚天剑”。	1
无间之倚天剑碎片(7/9)	4	627	\spr\item\citydefence\bigfragment.spr	347	1	1	无间之倚天剑的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“无间之倚天剑”。	1
无间之倚天剑碎片(8/9)	4	628	\spr\item\citydefence\bigfragment.spr	347	1	1	无间之倚天剑的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“无间之倚天剑”。	1
无间之倚天剑碎片(9/9)	4	629	\spr\item\citydefence\bigfragment.spr	347	1	1	无间之倚天剑的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“无间之倚天剑”。	1
栖凰之凤仪刀碎片(1/9)	4	630	\spr\item\citydefence\bigfragment.spr	347	1	1	栖凰之凤仪刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“栖凰之凤仪刀”。	1
栖凰之凤仪刀碎片(2/9)	4	631	\spr\item\citydefence\bigfragment.spr	347	1	1	栖凰之凤仪刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“栖凰之凤仪刀”。	1
栖凰之凤仪刀碎片(3/9)	4	632	\spr\item\citydefence\bigfragment.spr	347	1	1	栖凰之凤仪刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“栖凰之凤仪刀”。	1
栖凰之凤仪刀碎片(4/9)	4	633	\spr\item\citydefence\bigfragment.spr	347	1	1	栖凰之凤仪刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“栖凰之凤仪刀”。	1
栖凰之凤仪刀碎片(5/9)	4	634	\spr\item\citydefence\bigfragment.spr	347	1	1	栖凰之凤仪刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“栖凰之凤仪刀”。	1
栖凰之凤仪刀碎片(6/9)	4	635	\spr\item\citydefence\bigfragment.spr	347	1	1	栖凰之凤仪刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“栖凰之凤仪刀”。	1
栖凰之凤仪刀碎片(7/9)	4	636	\spr\item\citydefence\bigfragment.spr	347	1	1	栖凰之凤仪刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“栖凰之凤仪刀”。	1
栖凰之凤仪刀碎片(8/9)	4	637	\spr\item\citydefence\bigfragment.spr	347	1	1	栖凰之凤仪刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“栖凰之凤仪刀”。	1
栖凰之凤仪刀碎片(9/9)	4	638	\spr\item\citydefence\bigfragment.spr	347	1	1	栖凰之凤仪刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“栖凰之凤仪刀”。	1
碧海之鸳鸯连环刀碎片(1/9)	4	639	\spr\item\citydefence\bigfragment.spr	347	1	1	碧海之鸳鸯连环刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“碧海之鸳鸯连环刀”。	1
碧海之鸳鸯连环刀碎片(2/9)	4	640	\spr\item\citydefence\bigfragment.spr	347	1	1	碧海之鸳鸯连环刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“碧海之鸳鸯连环刀”。	1
碧海之鸳鸯连环刀碎片(3/9)	4	641	\spr\item\citydefence\bigfragment.spr	347	1	1	碧海之鸳鸯连环刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“碧海之鸳鸯连环刀”。	1
碧海之鸳鸯连环刀碎片(4/9)	4	642	\spr\item\citydefence\bigfragment.spr	347	1	1	碧海之鸳鸯连环刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“碧海之鸳鸯连环刀”。	1
碧海之鸳鸯连环刀碎片(5/9)	4	643	\spr\item\citydefence\bigfragment.spr	347	1	1	碧海之鸳鸯连环刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“碧海之鸳鸯连环刀”。	1
碧海之鸳鸯连环刀碎片(6/9)	4	644	\spr\item\citydefence\bigfragment.spr	347	1	1	碧海之鸳鸯连环刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“碧海之鸳鸯连环刀”。	1
碧海之鸳鸯连环刀碎片(7/9)	4	645	\spr\item\citydefence\bigfragment.spr	347	1	1	碧海之鸳鸯连环刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“碧海之鸳鸯连环刀”。	1
碧海之鸳鸯连环刀碎片(8/9)	4	646	\spr\item\citydefence\bigfragment.spr	347	1	1	碧海之鸳鸯连环刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“碧海之鸳鸯连环刀”。	1
碧海之鸳鸯连环刀碎片(9/9)	4	647	\spr\item\citydefence\bigfragment.spr	347	1	1	碧海之鸳鸯连环刀的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“碧海之鸳鸯连环刀”。	1
冥幻之邪刹毒刃碎片(1/9)	4	648	\spr\item\citydefence\bigfragment.spr	347	1	1	冥幻之邪刹毒刃的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“冥幻之邪刹毒刃”。	1
冥幻之邪刹毒刃碎片(2/9)	4	649	\spr\item\citydefence\bigfragment.spr	347	1	1	冥幻之邪刹毒刃的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“冥幻之邪刹毒刃”。	1
冥幻之邪刹毒刃碎片(3/9)	4	650	\spr\item\citydefence\bigfragment.spr	347	1	1	冥幻之邪刹毒刃的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“冥幻之邪刹毒刃”。	1
冥幻之邪刹毒刃碎片(4/9)	4	651	\spr\item\citydefence\bigfragment.spr	347	1	1	冥幻之邪刹毒刃的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“冥幻之邪刹毒刃”。	1
冥幻之邪刹毒刃碎片(5/9)	4	652	\spr\item\citydefence\bigfragment.spr	347	1	1	冥幻之邪刹毒刃的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“冥幻之邪刹毒刃”。	1
冥幻之邪刹毒刃碎片(6/9)	4	653	\spr\item\citydefence\bigfragment.spr	347	1	1	冥幻之邪刹毒刃的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“冥幻之邪刹毒刃”。	1
冥幻之邪刹毒刃碎片(7/9)	4	654	\spr\item\citydefence\bigfragment.spr	347	1	1	冥幻之邪刹毒刃的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“冥幻之邪刹毒刃”。	1
冥幻之邪刹毒刃碎片(8/9)	4	655	\spr\item\citydefence\bigfragment.spr	347	1	1	冥幻之邪刹毒刃的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“冥幻之邪刹毒刃”。	1
冥幻之邪刹毒刃碎片(9/9)	4	656	\spr\item\citydefence\bigfragment.spr	347	1	1	冥幻之邪刹毒刃的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“冥幻之邪刹毒刃”。	1
天光之花雨漫天碎片(1/9)	4	657	\spr\item\citydefence\bigfragment.spr	347	1	1	天光之花雨漫天的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“天光之花雨漫天”。	1
天光之花雨漫天碎片(2/9)	4	658	\spr\item\citydefence\bigfragment.spr	347	1	1	天光之花雨漫天的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“天光之花雨漫天”。	1
天光之花雨漫天碎片(3/9)	4	659	\spr\item\citydefence\bigfragment.spr	347	1	1	天光之花雨漫天的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“天光之花雨漫天”。	1
天光之花雨漫天碎片(4/9)	4	660	\spr\item\citydefence\bigfragment.spr	347	1	1	天光之花雨漫天的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“天光之花雨漫天”。	1
天光之花雨漫天碎片(5/9)	4	661	\spr\item\citydefence\bigfragment.spr	347	1	1	天光之花雨漫天的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“天光之花雨漫天”。	1
天光之花雨漫天碎片(6/9)	4	662	\spr\item\citydefence\bigfragment.spr	347	1	1	天光之花雨漫天的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“天光之花雨漫天”。	1
天光之花雨漫天碎片(7/9)	4	663	\spr\item\citydefence\bigfragment.spr	347	1	1	天光之花雨漫天的碎片，只要收集齐全部的九片便能在临安神秘铁匠处合成“天光之花雨漫天”。	1
