name	ItemGenre	DetailType	ParticularType	Animation file name	Corresponding object index	width	high	instructions	Five elements attributes	price	grade	Whether to stack	Basic attribute 1 type	Basic attribute 1 minimum value	Basic attribute 1 maximum value	Basic attribute 2 type	Basic attribute 2 minimum value	Basic attribute 2 maximum value	Basic attribute 3 types	Basic attribute 3 minimum value	Basic attribute 3 maximum value	Basic attribute 4 types	Basic attribute 4 minimum value	Basic attribute 4 maximum value	Basic attribute 5 types	Minimum value of basic attribute 5	Basic attribute 5 maximum value	Basic attribute 6 types	Basic attribute 6 minimum value	Basic attribute 6 maximum value	Basic attribute 7 types	Minimum value of basic attribute 7	Basic attribute 7 maximum value	Requirement attribute 1 type	Requirement attribute 1 value	Requirement attribute 2 type	Requirement attribute 2 value	Requirement attribute 3 types	Requirement attribute 3 value	Requirement attribute 4 type	Requirement attribute 4 value	Requirement attribute 5 types	Requirement attribute 5 value	Requirement attribute 6 types	Requirement attribute 6 value	Magic attribute index 1	Magic attribute index 2	Magic attribute index 3	Magic attribute index 4	Magic attribute index 5	Magic attribute index 6	In the suit	expansion set	Expansion package serial number	Expansion set hidden attributes 1	Expansion set hidden attributes 2	Number of smeltable properties	Meltable steel quality	Basic armor value	Whether equipment can be upgraded to stars	Number of star stones that can be embedded	Equipment breaks through the blessing value	×(17)éÎ»ÖÃÊýÁ¿	Show icon ID
V©n Léc Khëi Tó Uyªn ¦¬ng §ao	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	Bé trang bÞ Thóy Yªn song ®ao cÊp V©n Léc(7)	2	4	10	0	28	62	62	29	92	92	167	-30	-30	31	99	99										36	80	39	5									1057	891	1114	1194	1331	1291	115	56	7			2	2	24					
V©n Léc Khëi Tó Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	Bé trang bÞ Thóy Yªn song ®ao cÊp V©n Léc(8)	1	4	10	0	30	160	160	31	80	80																36	80	39	5									952	871	972	1014	1254	1291	115	56	8			2	2	24					
V©n Léc Khëi Tó H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Bé trang bÞ Thóy Yªn song ®ao cÊp V©n Léc(9)	3	4	10	0																						36	80	39	5									951	911	971	1214	1331	1291	115	56	9	1490		2	2	24					
V©n Léc Khëi Tó H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Bé trang bÞ Thóy Yªn song ®ao cÊp V©n Léc(10)	4	4	10	0																						36	80	39	5									951	931	971	1174	1331	1291	115	56	10			2	2	24					
V©n Léc MÆc L©n H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp V©n Léc(1)	0	4	10	0																						36	80	39	3									951	851	972	1014	994	1291	116	57	1	1492		2	2	24					
V©n Léc MÆc L©n Ph¸t §¸i	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp V©n Léc(2)	2	4	10	0	30	360	360	31	85	85																36	80	39	3									952	891	971	1194	1331	1291	116	57	2			2	2	24					
V©n Léc MÆc L©n Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp V©n Léc(3)	1	4	10	0																						36	80	39	3									951	871	972	1014	1331	1291	116	57	3			2	2	24					
V©n Léc MÆc L©n Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp V©n Léc(4)	3	4	10	0	30	135	135	31	80	80																36	80	39	3									952	911	971	1214	1331	1291	116	57	4			2	2	24					
V©n Léc MÆc L©n Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash20.spr	32	2	1	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp V©n Léc(5)	4	4	10	0	30	160	160	31	80	80																36	80	39	3									952	931	972	1174	1331	1291	116	57	5	1493		2	2	24					
V©n Léc MÆc L©n BÝ Trang	0	2	2	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp V©n Léc(6)	0	4	10	0	30	720	720	31	90	90																36	80	39	3									952	851	972	1014	1234	1291	116	57	6			2	2	24					
V©n Léc MÆc L©n TriÒn Thñ	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp V©n Léc(7)	2	4	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	80	39	3									1055	891	1094	1194	1331	1291	116	57	7			2	2	24					
V©n Léc MÆc L©n Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp V©n Léc(8)	1	4	10	0	30	160	160	31	80	80																36	80	39	3									952	871	972	1014	1254	1291	116	57	8			2	2	24					
V©n Léc MÆc L©n Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp V©n Léc(9)	3	4	10	0																						36	80	39	3									951	911	971	1214	1331	1291	116	57	9	1494		2	2	24					
V©n Léc MÆc L©n H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp V©n Léc(10)	4	4	10	0																						36	80	39	3									951	931	971	1174	1331	1291	116	57	10			2	2	24					
V©n Léc B¹ch L©n H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp V©n Léc(1)	0	4	10	0																						36	80	39	3									951	851	972	1014	994	1291	117	58	1	1496		2	2	24					
V©n Léc B¹ch L©n Ph¸t §¸i	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp V©n Léc(2)	2	4	10	0	30	360	360	31	85	85																36	80	39	3									952	891	971	1194	1331	1291	117	58	2			2	2	24					
V©n Léc B¹ch L©n Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp V©n Léc(3)	1	4	10	0																						36	80	39	3									951	871	972	1014	1331	1291	117	58	3			2	2	24					
V©n Léc B¹ch L©n Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp V©n Léc(4)	3	4	10	0	30	135	135	31	80	80																36	80	39	3									952	911	971	1214	1331	1291	117	58	4			2	2	24					
V©n Léc B¹ch L©n Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp V©n Léc(5)	4	4	10	0	30	160	160	31	80	80																36	80	39	3									952	931	972	1174	1331	1291	117	58	5	1497		2	2	24					
V©n Léc B¹ch L©n Hé Gi¸p	0	2	2	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp V©n Léc(6)	0	4	10	0	30	720	720	31	90	90																36	80	39	3									952	851	972	1014	1234	1291	117	58	6			2	2	24					
V©n Léc B¹ch L©n §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp V©n Léc(7)	2	4	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	80	39	3									1035	891	1074	1194	1316	1291	117	58	7			2	2	24					
V©n Léc B¹ch L©n Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp V©n Léc(8)	1	4	10	0	30	160	160	31	80	80																36	80	39	3									952	871	972	1014	1254	1291	117	58	8			2	2	24					
V©n Léc B¹ch L©n Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp V©n Léc(9)	3	4	10	0																						36	80	39	3									951	911	971	1214	1331	1291	117	58	9	1498		2	2	24					
V©n Léc B¹ch L©n H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp V©n Léc(10)	4	4	10	0																						36	80	39	3									951	931	971	1174	1331	1291	117	58	10			2	2	24					
V©n Léc L·nh ¶nh H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ §­êng M«n phi ®ao cÊp V©n Léc(1)	4	4	10	0																						36	80	39	2									951	931	972	1174	994	1291	118	59	1	1500		2	2	24					
V©n Léc L·nh ¶nh Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap11-3.spr	28	2	2	Bé trang bÞ §­êng M«n phi ®ao cÊp V©n Léc(2)	0	4	10	0	30	360	360	31	85	85																36	80	39	2									952	851	971	1014	1331	1291	118	59	2			2	2	24					
V©n Léc L·nh ¶nh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ §­êng M«n phi ®ao cÊp V©n Léc(3)	2	4	10	0																						36	80	39	2									951	891	972	1194	1331	1291	118	59	3			2	2	24					
V©n Léc L·nh ¶nh Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Bé trang bÞ §­êng M«n phi ®ao cÊp V©n Léc(4)	1	4	10	0	30	135	135	31	80	80																36	80	39	2									952	871	971	1014	1331	1291	118	59	4			2	2	24					
V©n Léc L·nh ¶nh Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	Bé trang bÞ §­êng M«n phi ®ao cÊp V©n Léc(5)	3	4	10	0	30	160	160	31	80	80																36	80	39	2									952	911	972	1214	1331	1291	118	59	5	1501		2	2	24					
V©n Léc L·nh ¶nh Gi¸p Y	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	Bé trang bÞ §­êng M«n phi ®ao cÊp V©n Léc(6)	4	4	10	0	30	720	720	31	90	90																36	80	39	2									952	931	972	1174	1234	1291	118	59	6			2	2	24					
V©n Léc L·nh ¶nh Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Bé trang bÞ §­êng M«n phi ®ao cÊp V©n Léc(7)	0	4	10	0	28	44	44	29	100	100	167	-30	-30	31	99	99										36	80	39	2									1039	851	1074	1014	1331	1291	118	59	7			2	2	24					
V©n Léc L·nh ¶nh Lý	0	5	1	\spr\item\equip\boots\obj-shoes08.spr	26	2	2	Bé trang bÞ §­êng M«n phi ®ao cÊp V©n Léc(8)	2	4	10	0	30	160	160	31	80	80																36	80	39	2									952	891	972	1194	1254	1291	118	59	8			2	2	24					
V©n Léc L·nh ¶nh Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Bé trang bÞ §­êng M«n phi ®ao cÊp V©n Léc(9)	1	4	10	0																						36	80	39	2									951	871	971	1014	1331	1291	118	59	9	1502		2	2	24					
V©n Léc L·nh ¶nh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ §­êng M«n phi ®ao cÊp V©n Léc(10)	3	4	10	0																						36	80	39	2									951	911	971	1214	1331	1291	118	59	10			2	2	24					
V©n Léc MÞ ¶nh H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Bé trang bÞ §­êng M«n ná tiÔn cÊp V©n Léc(1)	4	4	10	0																						36	80	39	2									951	931	972	1174	994	1291	119	60	1	1500		2	2	24					
V©n Léc MÞ ¶nh Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap11-3.spr	28	2	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp V©n Léc(2)	0	4	10	0	30	360	360	31	85	85																36	80	39	2									952	851	971	1014	1331	1291	119	60	2			2	2	24					
V©n Léc MÞ ¶nh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ §­êng M«n ná tiÔn cÊp V©n Léc(3)	2	4	10	0																						36	80	39	2									951	891	972	1194	1331	1291	119	60	3			2	2	24					
V©n Léc MÞ ¶nh Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp V©n Léc(4)	1	4	10	0	30	135	135	31	80	80																36	80	39	2									952	871	971	1014	1331	1291	119	60	4			2	2	24					
V©n Léc MÞ ¶nh Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	Bé trang bÞ §­êng M«n ná tiÔn cÊp V©n Léc(5)	3	4	10	0	30	160	160	31	80	80																36	80	39	2									952	911	972	1214	1331	1291	119	60	5	1501		2	2	24					
V©n Léc MÞ ¶nh Gi¸p Y	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	Bé trang bÞ §­êng M«n ná tiÔn cÊp V©n Léc(6)	4	4	10	0	30	720	720	31	90	90																36	80	39	2									952	931	972	1174	1234	1291	119	60	6			2	2	24					
V©n Léc MÞ ¶nh Tô TiÔn	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp V©n Léc(7)	0	4	10	0	28	46	46	29	102	102	167	-30	-30	31	99	99										36	80	39	2									1039	851	1074	1014	1331	1291	119	60	7			2	2	24					
V©n Léc MÞ ¶nh Lý	0	5	1	\Spr\item\equip\boots\obj-shoes07.spr	26	2	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp V©n Léc(8)	2	4	10	0	30	160	160	31	80	80																36	80	39	2									952	891	972	1194	1254	1291	119	60	8			2	2	24					
V©n Léc MÞ ¶nh Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp V©n Léc(9)	1	4	10	0																						36	80	39	2									951	871	971	1014	1331	1291	119	60	9	1504		2	2	24					
V©n Léc MÞ ¶nh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ §­êng M«n ná tiÔn cÊp V©n Léc(10)	3	4	10	0																						36	80	39	2									951	911	971	1214	1331	1291	119	60	10			2	2	24					
V©n Léc V« ¶nh H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ §­êng M«n phi tiªu cÊp V©n Léc(1)	4	4	10	0																						36	80	39	2									951	931	972	1174	994	1291	120	61	1	1500		2	2	24					
V©n Léc V« ¶nh Ph¸t Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap11-3.spr	28	2	2	Bé trang bÞ §­êng M«n phi tiªu cÊp V©n Léc(2)	0	4	10	0	30	360	360	31	85	85																36	80	39	2									952	851	971	1014	1331	1291	120	61	2			2	2	24					
V©n Léc V« ¶nh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ §­êng M«n phi tiªu cÊp V©n Léc(3)	2	4	10	0																						36	80	39	2									951	891	972	1194	1331	1291	120	61	3			2	2	24					
V©n Léc V« ¶nh Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Bé trang bÞ §­êng M«n phi tiªu cÊp V©n Léc(4)	1	4	10	0	30	135	135	31	80	80																36	80	39	2									952	871	971	1014	1331	1291	120	61	4			2	2	24					
V©n Léc V« ¶nh Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash08.spr	32	2	1	Bé trang bÞ §­êng M«n phi tiªu cÊp V©n Léc(5)	3	4	10	0	30	160	160	31	80	80																36	80	39	2									952	911	972	1214	1331	1291	120	61	5	1501		2	2	24					
V©n Léc V« ¶nh Gi¸p Y	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	Bé trang bÞ §­êng M«n phi tiªu cÊp V©n Léc(6)	4	4	10	0	30	720	720	31	90	90																36	80	39	2									952	931	972	1174	1234	1291	120	61	6			2	2	24					
V©n Léc V« ¶nh Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Bé trang bÞ §­êng M«n phi tiªu cÊp V©n Léc(7)	0	4	10	0	28	42	42	29	98	98	167	-30	-30	31	99	99										36	80	39	2									1039	851	1074	1014	1331	1291	120	61	7			2	2	24					
V©n Léc V« ¶nh Lý	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Bé trang bÞ §­êng M«n phi tiªu cÊp V©n Léc(8)	2	4	10	0	30	160	160	31	80	80																36	80	39	2									952	891	972	1194	1254	1291	120	61	8			2	2	24					
V©n Léc V« ¶nh Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist11.spr	34	1	2	Bé trang bÞ §­êng M«n phi tiªu cÊp V©n Léc(9)	1	4	10	0																						36	80	39	2									951	871	971	1014	1331	1291	120	61	9	1506		2	2	24					
V©n Léc V« ¶nh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ §­êng M«n phi tiªu cÊp V©n Léc(10)	3	4	10	0																						36	80	39	2									951	911	971	1214	1331	1291	120	61	10			2	2	24					
V©n Léc Hæ §¶m H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp V©n Léc(1)	1	4	10	0																						36	80	39	6									951	851	972	1014	994	1291	121	62	1	1508		2	2	24					
V©n Léc Hæ §¶m §Çu Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap17-3.spr	28	2	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp V©n Léc(2)	3	4	10	0	30	360	360	31	85	85																36	80	39	6									952	891	971	1194	1331	1291	121	62	2			2	2	24					
V©n Léc Hæ §¶m Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp V©n Léc(3)	4	4	10	0																						36	80	39	6									951	871	972	1014	1331	1291	121	62	3			2	2	24					
V©n Léc Hæ §¶m Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp V©n Léc(4)	0	4	10	0	30	135	135	31	80	80																36	80	39	6									952	911	971	1214	1331	1291	121	62	4			2	2	24					
V©n Léc Hæ §¶m Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash06.spr	32	2	1	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp V©n Léc(5)	2	4	10	0	30	160	160	31	80	80																36	80	39	6									952	931	972	1174	1331	1291	121	62	5	1509		2	2	24					
V©n Léc Hæ §¶m C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth17-3.spr	22	2	3	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp V©n Léc(6)	1	4	10	0	30	720	720	31	90	90																36	80	39	6									952	851	972	1014	1234	1291	121	62	6			2	2	24					
V©n Léc Hæ §¶m TriÒn Thñ	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp V©n Léc(7)	3	4	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	80	39	6									1057	891	1134	1194	1331	1291	121	62	7			2	2	24					
V©n Léc Hæ §¶m Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp V©n Léc(8)	4	4	10	0	30	160	160	31	80	80																36	80	39	6									952	871	972	1014	1254	1291	121	62	8	1510		2	2	24					
V©n Léc Hæ §¶m Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp V©n Léc(9)	0	4	10	0																						36	80	39	6									951	911	971	1214	1331	1291	121	62	9			2	2	24					
V©n Léc Hæ §¶m H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp V©n Léc(10)	2	4	10	0																						36	80	39	6									951	931	971	1174	1331	1291	121	62	10			2	2	24					
V©n Léc Chu Sa H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	Bé trang bÞ C¸i Bang c«n ph¸p cÊp V©n Léc(1)	0	4	10	0																						36	80	39	6									951	851	972	1014	994	1291	122	63	1	1512		2	2	24					
V©n Léc Chu Sa §Çu Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap17-3.spr	28	2	2	Bé trang bÞ C¸i Bang c«n ph¸p cÊp V©n Léc(2)	2	4	10	0	30	360	360	31	85	85																36	80	39	6									952	891	971	1194	1331	1291	122	63	2			2	2	24					
V©n Léc Chu Sa Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Bé trang bÞ C¸i Bang c«n ph¸p cÊp V©n Léc(3)	1	4	10	0																						36	80	39	6									951	871	972	1014	1331	1291	122	63	3			2	2	24					
V©n Léc Chu Sa Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Bé trang bÞ C¸i Bang c«n ph¸p cÊp V©n Léc(4)	3	4	10	0	30	135	135	31	80	80																36	80	39	6									952	911	971	1214	1331	1291	122	63	4	1513		2	2	24					
V©n Léc Chu Sa Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash05.spr	33	2	1	Bé trang bÞ C¸i Bang c«n ph¸p cÊp V©n Léc(5)	4	4	10	0	30	160	160	31	80	80																36	80	39	6									952	931	972	1174	1331	1291	122	63	5			2	2	24					
V©n Léc Chu Sa C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth17-3.spr	22	2	3	Bé trang bÞ C¸i Bang c«n ph¸p cÊp V©n Léc(6)	0	4	10	0	30	720	720	31	90	90																36	80	39	6									952	851	972	1014	1234	1291	122	63	6			2	2	24					
V©n Léc Chu Sa Tr­îng	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Bé trang bÞ C¸i Bang c«n ph¸p cÊp V©n Léc(7)	2	4	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	80	39	6									1037	891	1074	1194	1316	1291	122	63	7			2	2	24					
V©n Léc Chu Sa Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ C¸i Bang c«n ph¸p cÊp V©n Léc(8)	1	4	10	0	30	160	160	31	80	80																36	80	39	6									952	871	972	1014	1254	1291	122	63	8			2	2	24					
V©n Léc Chu Sa Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ C¸i Bang c«n ph¸p cÊp V©n Léc(9)	3	4	10	0																						36	80	39	6									951	911	971	1214	1331	1291	122	63	9	1514		2	2	24					
V©n Léc Chu Sa H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ C¸i Bang c«n ph¸p cÊp V©n Léc(10)	4	4	10	0																						36	80	39	6									951	931	971	1174	1331	1291	122	63	10			2	2	24					
V©n Léc §Þnh Viªm H¹ng Khuyªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp V©n Léc(1)	0	4	10	0																						36	80	39	7									951	851	972	1014	994	1291	123	64	1	1516		2	2	24					
V©n Léc §Þnh Viªm Kh«i	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp V©n Léc(2)	2	4	10	0	30	360	360	31	85	85																36	80	39	7									952	891	971	1194	1331	1291	123	64	2			2	2	24					
V©n Léc §Þnh Viªm Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp V©n Léc(3)	1	4	10	0																						36	80	39	7									951	871	972	1014	1331	1291	123	64	3			2	2	24					
V©n Léc §Þnh Viªm Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp V©n Léc(4)	3	4	10	0	30	135	135	31	80	80																36	80	39	7									952	911	971	1214	1331	1291	123	64	4	1517		2	2	24					
V©n Léc §Þnh Viªm Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp V©n Léc(5)	4	4	10	0	30	160	160	31	80	80																36	80	39	7									952	931	972	1174	1331	1291	123	64	5			2	2	24					
V©n Léc §Þnh Viªm Gi¸p	0	2	2	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp V©n Léc(6)	0	4	10	0	30	720	720	31	90	90																36	80	39	7									952	851	972	1014	1234	1291	123	64	6			2	2	24					
V©n Léc §Þnh Viªm Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp V©n Léc(7)	2	4	10	0	28	18	18	29	158	158	167	-30	-30	31	99	99										36	80	39	7									1038	891	1074	1194	1316	1291	123	64	7			2	2	24					
V©n Léc §Þnh Viªm Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp V©n Léc(8)	1	4	10	0	30	160	160	31	80	80																36	80	39	7									952	871	972	1014	1254	1291	123	64	8			2	2	24					
V©n Léc §Þnh Viªm Béi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp V©n Léc(9)	3	4	10	0																						36	80	39	7									951	911	971	1214	1331	1291	123	64	9	1518		2	2	24					
V©n Léc §Þnh Viªm H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp V©n Léc(10)	4	4	10	0																						36	80	39	7									951	931	971	1174	1331	1291	123	64	10			2	2	24					
V©n Léc LiÖt DiÖm H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp V©n Léc(1)	1	4	10	0																						36	80	39	7									951	851	972	1014	994	1291	124	65	1	1520		2	2	24					
V©n Léc LiÖt DiÖm Qu¸n MiÖn	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp V©n Léc(2)	3	4	10	0	30	360	360	31	85	85																36	80	39	7									952	891	971	1194	1331	1291	124	65	2			2	2	24					
V©n Léc LiÖt DiÖm Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp V©n Léc(3)	4	4	10	0																						36	80	39	7									951	871	972	1014	1331	1291	124	65	3			2	2	24					
V©n Léc LiÖt DiÖm Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp V©n Léc(4)	0	4	10	0	30	135	135	31	80	80																36	80	39	7									952	911	971	1214	1331	1291	124	65	4	1521		2	2	24					
