Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ	»ù´¡±ø¼×Öµ	ÊÇ·ñ¿ÉÉýÐÇ×°±¸	¿ÉÏâÇ¶ÐÇ³½Ê¯ÊýÁ¿	×°±¸Í»ÆÆ×£¸£Öµ	×¢ÁéÎ»ÖÃÊýÁ¿	ÏÔÊ¾Í¼±êID	
Thanh C©u Lôc Quang H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Thanh C©u(1)	0	4	10	0																						39	3	36	30									950	850	971	1013	993	1290	94	35	1	1496		2	1	2						1015
Thanh C©u Lôc Quang Ph¸t §¸i	0	7	2	\spr\item\equip\cap\obj-ma-cap07-3.spr	28	2	2	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Thanh C©u(2)	2	4	10	0	30	360	360	31	85	85																39	3	36	30									951	890	970	1193	1330	1290	94	35	2			2	1	2						1016
Thanh C©u Lôc Quang Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Thanh C©u(3)	1	4	10	0																						39	3	36	30									950	870	971	1013	1330	1290	94	35	3			2	1	2						1017
Thanh C©u Lôc Quang Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Thanh C©u(4)	3	4	10	0	30	135	135	31	80	80																39	3	36	30									951	910	970	1213	1330	1290	94	35	4			2	1	2						1018
Thanh C©u Lôc Quang Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Thanh C©u(5)	4	4	10	0	30	160	160	31	80	80																39	3	36	30									951	930	971	1173	1330	1290	94	35	5	1497		2	1	2						1019
Thanh C©u Lôc Quang BÝ Trang	0	2	2	\spr\item\equip\armor\obj-ma-cloth07-3.spr	22	2	3	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Thanh C©u(6)	0	4	10	0	30	720	720	31	90	90																39	3	36	30									951	850	971	1013	1233	1290	94	35	6			2	1	2						1020
Thanh C©u Lôc Quang §éc NhÉn	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Thanh C©u(7)	2	4	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										39	3	36	30									1034	890	1073	1193	1315	1290	94	35	7			2	1	2						1021
Thanh C©u Lôc Quang Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Thanh C©u(8)	1	4	10	0	30	160	160	31	80	80																39	3	36	30									951	870	971	1013	1253	1290	94	35	8			2	1	2						1022
Thanh C©u Lôc Quang Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Thanh C©u(9)	3	4	10	0																						39	3	36	30									950	910	970	1213	1330	1290	94	35	9	1498		2	1	2						1023
Thanh C©u Lôc Quang H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Thanh C©u(10)	4	4	10	0																						39	3	36	30									950	930	970	1173	1330	1290	94	35	10			2	1	2						1024
Thanh C©u BÝ Linh H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ §­êng M«n phi ®ao cÊp Thanh C©u(1)	4	4	10	0																						39	2	36	30									950	930	971	1173	993	1290	95	36	1	1500		2	1	2						1025
Thanh C©u BÝ Linh Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap10-3.spr	28	2	2	Bé trang bÞ §­êng M«n phi ®ao cÊp Thanh C©u(2)	0	4	10	0	30	360	360	31	85	85																39	2	36	30									951	850	970	1013	1330	1290	95	36	2			2	1	2						1026
Thanh C©u BÝ Linh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ §­êng M«n phi ®ao cÊp Thanh C©u(3)	2	4	10	0																						39	2	36	30									950	890	971	1193	1330	1290	95	36	3			2	1	2						1027
Thanh C©u BÝ Linh Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Bé trang bÞ §­êng M«n phi ®ao cÊp Thanh C©u(4)	1	4	10	0	30	135	135	31	80	80																39	2	36	30									951	870	970	1013	1330	1290	95	36	4			2	1	2						1028
Thanh C©u BÝ Linh Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	Bé trang bÞ §­êng M«n phi ®ao cÊp Thanh C©u(5)	3	4	10	0	30	160	160	31	80	80																39	2	36	30									951	910	971	1213	1330	1290	95	36	5	1501		2	1	2						1029
Thanh C©u BÝ Linh Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth10-3.spr	22	2	3	Bé trang bÞ §­êng M«n phi ®ao cÊp Thanh C©u(6)	4	4	10	0	30	720	720	31	90	90																39	2	36	30									951	930	971	1173	1233	1290	95	36	6			2	1	2						1030
Thanh C©u BÝ Linh Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Bé trang bÞ §­êng M«n phi ®ao cÊp Thanh C©u(7)	0	4	10	0	28	44	44	29	100	100	167	-30	-30	31	99	99										39	2	36	30									1038	850	1073	1013	1330	1290	95	36	7			2	1	2						1031
Thanh C©u BÝ Linh Lý	0	5	1	\spr\item\equip\boots\obj-shoes08.spr	26	2	2	Bé trang bÞ §­êng M«n phi ®ao cÊp Thanh C©u(8)	2	4	10	0	30	160	160	31	80	80																39	2	36	30									951	890	971	1193	1253	1290	95	36	8			2	1	2						1032
Thanh C©u BÝ Linh Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Bé trang bÞ §­êng M«n phi ®ao cÊp Thanh C©u(9)	1	4	10	0																						39	2	36	30									950	870	970	1013	1330	1290	95	36	9	1502		2	1	2						1033
Thanh C©u BÝ Linh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ §­êng M«n phi ®ao cÊp Thanh C©u(10)	3	4	10	0																						39	2	36	30									950	910	970	1213	1330	1290	95	36	10			2	1	2						1034
Thanh C©u Tµn V©n H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Bé trang bÞ §­êng M«n ná tiÔn cÊp Thanh C©u(1)	4	4	10	0																						39	2	36	30									950	930	971	1173	993	1290	96	37	1	1500		2	1	2						1035
Thanh C©u Tµn V©n Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap10-3.spr	28	2	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp Thanh C©u(2)	0	4	10	0	30	360	360	31	85	85																39	2	36	30									951	850	970	1013	1330	1290	96	37	2			2	1	2						1036
Thanh C©u Tµn V©n Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ §­êng M«n ná tiÔn cÊp Thanh C©u(3)	2	4	10	0																						39	2	36	30									950	890	971	1193	1330	1290	96	37	3			2	1	2						1037
Thanh C©u Tµn V©n Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp Thanh C©u(4)	1	4	10	0	30	135	135	31	80	80																39	2	36	30									951	870	970	1013	1330	1290	96	37	4			2	1	2						1038
Thanh C©u Tµn V©n Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	Bé trang bÞ §­êng M«n ná tiÔn cÊp Thanh C©u(5)	3	4	10	0	30	160	160	31	80	80																39	2	36	30									951	910	971	1213	1330	1290	96	37	5	1501		2	1	2						1039
Thanh C©u Tµn V©n Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth10-3.spr	22	2	3	Bé trang bÞ §­êng M«n ná tiÔn cÊp Thanh C©u(6)	4	4	10	0	30	720	720	31	90	90																39	2	36	30									951	930	971	1173	1233	1290	96	37	6			2	1	2						1040
Thanh C©u Tµn V©n TiÔn	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp Thanh C©u(7)	0	4	10	0	28	46	46	29	102	102	167	-30	-30	31	99	99										39	2	36	30									1038	850	1073	1013	1330	1290	96	37	7			2	1	2						1041
Thanh C©u Tµn V©n Lý	0	5	1	\Spr\item\equip\boots\obj-shoes07.spr	26	2	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp Thanh C©u(8)	2	4	10	0	30	160	160	31	80	80																39	2	36	30									951	890	971	1193	1253	1290	96	37	8			2	1	2						1042
Thanh C©u Tµn V©n Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp Thanh C©u(9)	1	4	10	0																						39	2	36	30									950	870	970	1013	1330	1290	96	37	9	1504		2	1	2						1043
Thanh C©u Tµn V©n H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ §­êng M«n ná tiÔn cÊp Thanh C©u(10)	3	4	10	0																						39	2	36	30									950	910	970	1213	1330	1290	96	37	10			2	1	2						1044
Thanh C©u Phi Tinh Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ §­êng M«n phi tiªu cÊp Thanh C©u(1)	4	4	10	0																						39	2	36	30									950	930	971	1173	993	1290	97	38	1	1500		2	1	2						1045
Thanh C©u Phi Tinh Ph¸t Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap10-3.spr	28	2	2	Bé trang bÞ §­êng M«n phi tiªu cÊp Thanh C©u(2)	0	4	10	0	30	360	360	31	85	85																39	2	36	30									951	850	970	1013	1330	1290	97	38	2			2	1	2						1046
Thanh C©u Phi Tinh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ §­êng M«n phi tiªu cÊp Thanh C©u(3)	2	4	10	0																						39	2	36	30									950	890	971	1193	1330	1290	97	38	3			2	1	2						1047
Thanh C©u Phi Tinh Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Bé trang bÞ §­êng M«n phi tiªu cÊp Thanh C©u(4)	1	4	10	0	30	135	135	31	80	80																39	2	36	30									951	870	970	1013	1330	1290	97	38	4			2	1	2						1048
Thanh C©u Phi Tinh TriÒn Yªu	0	6	0	\spr\item\equip\sash\obj-sash08.spr	32	2	1	Bé trang bÞ §­êng M«n phi tiªu cÊp Thanh C©u(5)	3	4	10	0	30	160	160	31	80	80																39	2	36	30									951	910	971	1213	1330	1290	97	38	5	1501		2	1	2						1049
Thanh C©u Phi Tinh Gi¸p Y	0	2	3	\spr\item\equip\armor\obj-ma-cloth10-3.spr	22	2	3	Bé trang bÞ §­êng M«n phi tiªu cÊp Thanh C©u(6)	4	4	10	0	30	720	720	31	90	90																39	2	36	30									951	930	971	1173	1233	1290	97	38	6			2	1	2						1050
Thanh C©u Phi Tinh Tiªu	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Bé trang bÞ §­êng M«n phi tiªu cÊp Thanh C©u(7)	0	4	10	0	28	42	42	29	98	98	167	-30	-30	31	99	99										39	2	36	30									1038	850	1073	1013	1330	1290	97	38	7			2	1	2						1051
Thanh C©u Phi Tinh Lý	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Bé trang bÞ §­êng M«n phi tiªu cÊp Thanh C©u(8)	2	4	10	0	30	160	160	31	80	80																39	2	36	30									951	890	971	1193	1253	1290	97	38	8			2	1	2						1052
Thanh C©u Phi Tinh Trôy	0	9	1	\spr\item\equip\waist\obj-waist11.spr	34	1	2	Bé trang bÞ §­êng M«n phi tiªu cÊp Thanh C©u(9)	1	4	10	0																						39	2	36	30									950	870	970	1013	1330	1290	97	38	9	1506		2	1	2						1053
Thanh C©u Phi Tinh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ §­êng M«n phi tiªu cÊp Thanh C©u(10)	3	4	10	0																						39	2	36	30									950	910	970	1213	1330	1290	97	38	10			2	1	2						1054
Thanh C©u Tr­êng Phong H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Thanh C©u(1)	1	4	10	0																						39	6	36	30									950	850	971	1013	993	1290	98	39	1	1508		2	1	2						1055
Thanh C©u Tr­êng Phong §Çu Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap16-3.spr	28	2	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Thanh C©u(2)	3	4	10	0	30	360	360	31	85	85																39	6	36	30									951	890	970	1193	1330	1290	98	39	2			2	1	2						1056
Thanh C©u Tr­êng Phong Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Thanh C©u(3)	4	4	10	0																						39	6	36	30									950	870	971	1013	1330	1290	98	39	3			2	1	2						1057
Thanh C©u Tr­êng Phong Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Thanh C©u(4)	0	4	10	0	30	135	135	31	80	80																39	6	36	30									951	910	970	1213	1330	1290	98	39	4			2	1	2						1058
Thanh C©u Tr­êng Phong Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash06.spr	32	2	1	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Thanh C©u(5)	2	4	10	0	30	160	160	31	80	80																39	6	36	30									951	930	971	1173	1330	1290	98	39	5	1509		2	1	2						1059
Thanh C©u Tr­êng Phong C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth16-3.spr	22	2	3	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Thanh C©u(6)	1	4	10	0	30	720	720	31	90	90																39	6	36	30									951	850	971	1013	1233	1290	98	39	6			2	1	2						1060
Thanh C©u Tr­êng Phong TriÒn Thñ	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Thanh C©u(7)	3	4	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										39	6	36	30									1056	890	1133	1193	1330	1290	98	39	7			2	1	2						1061
Thanh C©u Tr­êng Phong Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Thanh C©u(8)	4	4	10	0	30	160	160	31	80	80																39	6	36	30									951	870	971	1013	1253	1290	98	39	8	1510		2	1	2						1062
Thanh C©u Tr­êng Phong Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Thanh C©u(9)	0	4	10	0																						39	6	36	30									950	910	970	1213	1330	1290	98	39	9			2	1	2						1063
Thanh C©u Tr­êng Phong H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ C¸i Bang ch­ëng ph¸p cÊp Thanh C©u(10)	2	4	10	0																						39	6	36	30									950	930	970	1173	1330	1290	98	39	10			2	1	2						1064
Thanh C©u Liªn Hoa H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Thanh C©u(1)	0	4	10	0																						39	6	36	30									950	850	971	1013	993	1290	99	40	1	1512		2	1	2						1065
Thanh C©u Liªn Hoa §Çu Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap16-3.spr	28	2	2	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Thanh C©u(2)	2	4	10	0	30	360	360	31	85	85																39	6	36	30									951	890	970	1193	1330	1290	99	40	2			2	1	2						1066
Thanh C©u Liªn Hoa Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Thanh C©u(3)	1	4	10	0																						39	6	36	30									950	870	971	1013	1330	1290	99	40	3			2	1	2						1067
Thanh C©u Liªn Hoa Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Thanh C©u(4)	3	4	10	0	30	135	135	31	80	80																39	6	36	30									951	910	970	1213	1330	1290	99	40	4	1513		2	1	2						1068
Thanh C©u Liªn Hoa Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash05.spr	33	2	1	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Thanh C©u(5)	4	4	10	0	30	160	160	31	80	80																39	6	36	30									951	930	971	1173	1330	1290	99	40	5			2	1	2						1069
Thanh C©u Liªn Hoa C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth16-3.spr	22	2	3	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Thanh C©u(6)	0	4	10	0	30	720	720	31	90	90																39	6	36	30									951	850	971	1013	1233	1290	99	40	6			2	1	2						1070
Thanh C©u Liªn Hoa Tr­îng	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Thanh C©u(7)	2	4	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										39	6	36	30									1036	890	1073	1193	1315	1290	99	40	7			2	1	2						1071
Thanh C©u Liªn Hoa Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Thanh C©u(8)	1	4	10	0	30	160	160	31	80	80																39	6	36	30									951	870	971	1013	1253	1290	99	40	8			2	1	2						1072
Thanh C©u Liªn Hoa Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Thanh C©u(9)	3	4	10	0																						39	6	36	30									950	910	970	1213	1330	1290	99	40	9	1514		2	1	2						1073
Thanh C©u Liªn Hoa H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Thanh C©u(10)	4	4	10	0																						39	6	36	30									950	930	970	1173	1330	1290	99	40	10			2	1	2						1074
Thanh C©u LÖ ¢m H¹ng Khuyªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Thanh C©u(1)	0	4	10	0																						39	7	36	30									950	850	971	1013	993	1290	100	41	1	1516		2	1	2						1075
Thanh C©u LÖ ¢m Kh«i	0	7	2	\spr\item\equip\cap\obj-ma-cap07-3.spr	28	2	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Thanh C©u(2)	2	4	10	0	30	360	360	31	85	85																39	7	36	30									951	890	970	1193	1330	1290	100	41	2			2	1	2						1076
Thanh C©u LÖ ¢m Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Thanh C©u(3)	1	4	10	0																						39	7	36	30									950	870	971	1013	1330	1290	100	41	3			2	1	2						1077
Thanh C©u LÖ ¢m Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Thanh C©u(4)	3	4	10	0	30	135	135	31	80	80																39	7	36	30									951	910	970	1213	1330	1290	100	41	4	1517		2	1	2						1078
Thanh C©u LÖ ¢m Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Thanh C©u(5)	4	4	10	0	30	160	160	31	80	80																39	7	36	30									951	930	971	1173	1330	1290	100	41	5			2	1	2						1079
Thanh C©u LÖ ¢m Gi¸p Y	0	2	2	\spr\item\equip\armor\obj-ma-cloth07-3.spr	22	2	3	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Thanh C©u(6)	0	4	10	0	30	720	720	31	90	90																39	7	36	30									951	850	971	1013	1233	1290	100	41	6			2	1	2						1080
Thanh C©u LÖ ¢m Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Thanh C©u(7)	2	4	10	0	28	18	18	29	158	158	167	-30	-30	31	99	99										39	7	36	30									1037	890	1073	1193	1315	1290	100	41	7			2	1	2						1081
Thanh C©u LÖ ¢m Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Thanh C©u(8)	1	4	10	0	30	160	160	31	80	80																39	7	36	30									951	870	971	1013	1253	1290	100	41	8			2	1	2						1082
Thanh C©u LÖ ¢m Béi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Thanh C©u(9)	3	4	10	0																						39	7	36	30									950	910	970	1213	1330	1290	100	41	9	1518		2	1	2						1083
Thanh C©u LÖ ¢m H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Thanh C©u(10)	4	4	10	0																						39	7	36	30									950	930	970	1173	1330	1290	100	41	10			2	1	2						1084
Thanh C©u NghiÖp Háa H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Thanh C©u(1)	1	4	10	0																						39	7	36	30									950	850	971	1013	993	1290	101	42	1	1520		2	1	2						1085
Thanh C©u NghiÖp Háa Qu¸n MiÖn	0	7	2	\spr\item\equip\cap\obj-ma-cap07-3.spr	28	2	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Thanh C©u(2)	3	4	10	0	30	360	360	31	85	85																39	7	36	30									951	890	970	1193	1330	1290	101	42	2			2	1	2						1086
Thanh C©u NghiÖp Háa Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Thanh C©u(3)	4	4	10	0																						39	7	36	30									950	870	971	1013	1330	1290	101	42	3			2	1	2						1087
Thanh C©u NghiÖp Háa Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Thanh C©u(4)	0	4	10	0	30	135	135	31	80	80																39	7	36	30									951	910	970	1213	1330	1290	101	42	4	1521		2	1	2						1088
Thanh C©u NghiÖp Háa Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Thanh C©u(5)	2	4	10	0	30	160	160	31	80	80																39	7	36	30									951	930	971	1173	1330	1290	101	42	5			2	1	2						1089
Thanh C©u NghiÖp Háa Gi¸p Y	0	2	2	\spr\item\equip\armor\obj-ma-cloth07-3.spr	22	2	3	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Thanh C©u(6)	1	4	10	0	30	720	720	31	90	90																39	7	36	30									951	850	971	1013	1233	1290	101	42	6			2	1	2						1090
Thanh C©u NghiÖp Háa §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Thanh C©u(7)	3	4	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										39	7	36	30									1055	890	1133	1193	1330	1290	101	42	7			2	1	2						1091
Thanh C©u NghiÖp Háa Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Thanh C©u(8)	4	4	10	0	30	160	160	31	80	80																39	7	36	30									951	870	971	1013	1253	1290	101	42	8			2	1	2						1092
Thanh C©u NghiÖp Háa Béi	0	9	1	\spr\item\equip\waist\obj-waist13.spr	34	1	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Thanh C©u(9)	0	4	10	0																						39	7	36	30									950	910	970	1213	1330	1290	101	42	9	1522		2	1	2						1093
Thanh C©u NghiÖp Háa H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring03.spr	37	1	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Thanh C©u(10)	2	4	10	0																						39	7	36	30									950	930	970	1173	1330	1290	101	42	10			2	1	2						1094
Thanh C©u Th¸i Cùc Phï	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Thanh C©u(1)	3	4	10	0																						39	8	36	30									950	850	971	1213	993	1290	102	43	1	1524		2	1	2						1095
