名称	ItemGenre	DetailType	ParticularType	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	脚本名(参数1)	技能ID（参数1）	参数2(释法类型)	参数3(是否广播)	参数4(是否有等级概念)	参数5(是否可放快捷栏)	是否需要使用目标	物品最大叠放值	要求等级相同	要求五行相同	要求幸运相同	要求MagicLevel1相同	要求MagicLevel2相同	要求MagicLevel3相同	要求MagicLevel4相同	要求MagicLevel5相同	要求MagicLevel6相同
同伴修练任务卷轴27	6	1	473	\spr\item\script\item_huangjintupu.spr	38	1	1	去秦始皇陵地下二层杀红蝠50只，同伴等级要求不低于65级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴28	6	1	474	\spr\item\script\item_huangjintupu.spr	38	1	1	去秦始皇陵地下三层杀木人50个，同伴等级要求不低于75级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴29	6	1	475	\spr\item\script\item_huangjintupu.spr	38	1	1	去秦始皇陵地下三层杀木人100个，同伴等级要求不低于75级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴30	6	1	476	\spr\item\script\item_huangjintupu.spr	38	1	1	去秦始皇陵地下三层杀木人150个，同伴等级要求不低于75级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴31	6	1	477	\spr\item\script\item_huangjintupu.spr	38	1	1	去冰河洞迷宫杀飞镰50个，同伴等级要求不低于75级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴32	6	1	478	\spr\item\script\item_huangjintupu.spr	38	1	1	去冰河洞迷宫杀飞镰100个，同伴等级要求不低于75级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴33	6	1	479	\spr\item\script\item_huangjintupu.spr	38	1	1	去冰河洞迷宫杀飞镰150个，同伴等级要求不低于75级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴34	6	1	480	\spr\item\script\item_huangjintupu.spr	38	1	1	去永乐镇外杀白猪50只，同伴等级要求不低于1级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴35	6	1	481	\spr\item\script\item_huangjintupu.spr	38	1	1	去永乐镇外杀白猪100只，同伴等级要求不低于1级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴36	6	1	482	\spr\item\script\item_huangjintupu.spr	38	1	1	去永乐镇外杀白猪150只，同伴等级要求不低于1级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴37	6	1	483	\spr\item\script\item_huangjintupu.spr	38	1	1	去长江源头杀恶尼50个，同伴等级要求不低于65级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴38	6	1	484	\spr\item\script\item_huangjintupu.spr	38	1	1	去长江源头杀恶尼100个，同伴等级要求不低于65级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴39	6	1	485	\spr\item\script\item_huangjintupu.spr	38	1	1	去长江源头杀恶尼150个，同伴等级要求不低于65级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴40	6	1	486	\spr\item\script\item_huangjintupu.spr	38	1	1	去雁石洞迷宫杀黑巾50个，同伴等级要求不低于75级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴41	6	1	487	\spr\item\script\item_huangjintupu.spr	38	1	1	去雁石洞迷宫杀黑巾100个，同伴等级要求不低于75级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴42	6	1	488	\spr\item\script\item_huangjintupu.spr	38	1	1	去雁石洞迷宫杀黑巾150个，同伴等级要求不低于75级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴43	6	1	489	\spr\item\script\item_huangjintupu.spr	38	1	1	去成都城外杀刺猬50只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴44	6	1	490	\spr\item\script\item_huangjintupu.spr	38	1	1	去成都城外杀刺猬100只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴45	6	1	491	\spr\item\script\item_huangjintupu.spr	38	1	1	去成都城外杀刺猬150只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴46	6	1	492	\spr\item\script\item_huangjintupu.spr	38	1	1	去成都信相寺后院地道迷宫杀凶僧50个，同伴等级要求不低于45级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴47	6	1	493	\spr\item\script\item_huangjintupu.spr	38	1	1	去成都信相寺后院地道迷宫杀凶僧100个，同伴等级要求不低于45级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴48	6	1	494	\spr\item\script\item_huangjintupu.spr	38	1	1	去成都信相寺后院地道迷宫杀凶僧150个，同伴等级要求不低于45级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴49	6	1	495	\spr\item\script\item_huangjintupu.spr	38	1	1	去峨嵋派外杀马猴50只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴50	6	1	496	\spr\item\script\item_huangjintupu.spr	38	1	1	去峨嵋派外杀马猴100只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴51	6	1	497	\spr\item\script\item_huangjintupu.spr	38	1	1	去峨嵋派外杀马猴150只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴52	6	1	498	\spr\item\script\item_huangjintupu.spr	38	1	1	去猛虎洞穴迷宫杀白煞虎50只，同伴等级要求不低于15级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴53	6	1	499	\spr\item\script\item_huangjintupu.spr	38	1	1	去猛虎洞穴迷宫杀白煞虎100只，同伴等级要求不低于15级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴54	6	1	500	\spr\item\script\item_huangjintupu.spr	38	1	1	去猛虎洞穴迷宫杀白煞虎150只，同伴等级要求不低于15级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴55	6	1	501	\spr\item\script\item_huangjintupu.spr	38	1	1	去剑阁西南杀刺猬50个，同伴等级要求不低于15级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴56	6	1	502	\spr\item\script\item_huangjintupu.spr	38	1	1	去剑阁西南杀刺猬100个，同伴等级要求不低于15级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴57	6	1	503	\spr\item\script\item_huangjintupu.spr	38	1	1	去剑阁西南杀刺猬150个，同伴等级要求不低于15级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴58	6	1	504	\spr\item\script\item_huangjintupu.spr	38	1	1	去江津村外杀白猪50只，同伴等级要求不低于1级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴59	6	1	505	\spr\item\script\item_huangjintupu.spr	38	1	1	去江津村外杀白猪100只，同伴等级要求不低于1级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴60	6	1	506	\spr\item\script\item_huangjintupu.spr	38	1	1	去江津村外杀白猪150只，同伴等级要求不低于1级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴61	6	1	507	\spr\item\script\item_huangjintupu.spr	38	1	1	去青城山杀金雕50只，同伴等级要求不低于35级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴62	6	1	508	\spr\item\script\item_huangjintupu.spr	38	1	1	去青城山杀金雕100只，同伴等级要求不低于35级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴63	6	1	509	\spr\item\script\item_huangjintupu.spr	38	1	1	去青城山杀金雕150只，同伴等级要求不低于35级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴64	6	1	510	\spr\item\script\item_huangjintupu.spr	38	1	1	去白云洞迷宫杀流浪50个，同伴等级要求不低于25级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴65	6	1	511	\spr\item\script\item_huangjintupu.spr	38	1	1	去白云洞迷宫杀流浪100个，同伴等级要求不低于25级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴66	6	1	512	\spr\item\script\item_huangjintupu.spr	38	1	1	去白云洞迷宫杀流浪150个，同伴等级要求不低于25级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴67	6	1	513	\spr\item\script\item_huangjintupu.spr	38	1	1	去神仙洞迷宫杀长刀50个，同伴等级要求不低于35级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴68	6	1	514	\spr\item\script\item_huangjintupu.spr	38	1	1	去神仙洞迷宫杀长刀100个，同伴等级要求不低于35级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴69	6	1	515	\spr\item\script\item_huangjintupu.spr	38	1	1	去神仙洞迷宫杀长刀150个，同伴等级要求不低于35级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴70	6	1	516	\spr\item\script\item_huangjintupu.spr	38	1	1	去响水洞迷宫杀蓝巾50个，同伴等级要求不低于45级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴71	6	1	517	\spr\item\script\item_huangjintupu.spr	38	1	1	去响水洞迷宫杀蓝巾100个，同伴等级要求不低于45级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴72	6	1	518	\spr\item\script\item_huangjintupu.spr	38	1	1	去响水洞迷宫杀蓝巾150个，同伴等级要求不低于45级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴73	6	1	519	\spr\item\script\item_huangjintupu.spr	38	1	1	去唐门外杀马猴50只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴74	6	1	520	\spr\item\script\item_huangjintupu.spr	38	1	1	去唐门外杀马猴100只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴75	6	1	521	\spr\item\script\item_huangjintupu.spr	38	1	1	去唐门外杀马猴150只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴76	6	1	522	\spr\item\script\item_huangjintupu.spr	38	1	1	去芙蓉洞迷宫杀飞镰50个，同伴等级要求不低于75级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴77	6	1	523	\spr\item\script\item_huangjintupu.spr	38	1	1	去芙蓉洞迷宫杀飞镰100个，同伴等级要求不低于75级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴78	6	1	524	\spr\item\script\item_huangjintupu.spr	38	1	1	去芙蓉洞迷宫杀飞镰150个，同伴等级要求不低于75级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴79	6	1	525	\spr\item\script\item_huangjintupu.spr	38	1	1	去汴京城外杀刺猬50只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴80	6	1	526	\spr\item\script\item_huangjintupu.spr	38	1	1	去汴京城外杀刺猬100只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴81	6	1	527	\spr\item\script\item_huangjintupu.spr	38	1	1	去汴京城外杀刺猬150只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴82	6	1	528	\spr\item\script\item_huangjintupu.spr	38	1	1	去铁塔迷宫一层杀刀兵50个，同伴等级要求不低于45级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴83	6	1	529	\spr\item\script\item_huangjintupu.spr	38	1	1	去铁塔迷宫一层杀刀兵100个，同伴等级要求不低于45级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴84	6	1	530	\spr\item\script\item_huangjintupu.spr	38	1	1	去铁塔迷宫一层杀刀兵150个，同伴等级要求不低于45级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴85	6	1	531	\spr\item\script\item_huangjintupu.spr	38	1	1	去铁塔迷宫二层杀枪兵50个，同伴等级要求不低于45级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴86	6	1	532	\spr\item\script\item_huangjintupu.spr	38	1	1	去铁塔迷宫二层杀枪兵50个，同伴等级要求不低于45级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴87	6	1	533	\spr\item\script\item_huangjintupu.spr	38	1	1	去铁塔迷宫二层杀枪兵50个，同伴等级要求不低于45级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴88	6	1	534	\spr\item\script\item_huangjintupu.spr	38	1	1	去伏牛山西杀青狼50只，同伴等级要求不低于35级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴89	6	1	535	\spr\item\script\item_huangjintupu.spr	38	1	1	去伏牛山西杀青狼100只，同伴等级要求不低于35级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴90	6	1	536	\spr\item\script\item_huangjintupu.spr	38	1	1	去伏牛山西杀青狼150只，同伴等级要求不低于35级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴91	6	1	537	\spr\item\script\item_huangjintupu.spr	38	1	1	去天心洞迷宫杀断戟50个，同伴等级要求不低于45级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴92	6	1	538	\spr\item\script\item_huangjintupu.spr	38	1	1	去天心洞迷宫杀断戟100个，同伴等级要求不低于45级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴93	6	1	539	\spr\item\script\item_huangjintupu.spr	38	1	1	去天心洞迷宫杀断戟150个，同伴等级要求不低于45级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴94	6	1	540	\spr\item\script\item_huangjintupu.spr	38	1	1	去剑阁中原杀灰狼50只，同伴等级要求不低于15级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴95	6	1	541	\spr\item\script\item_huangjintupu.spr	38	1	1	去剑阁中原杀灰狼100只，同伴等级要求不低于15级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴96	6	1	542	\spr\item\script\item_huangjintupu.spr	38	1	1	去剑阁中原杀灰狼150只，同伴等级要求不低于15级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴97	6	1	543	\spr\item\script\item_huangjintupu.spr	38	1	1	去天忍教室外杀刺猬50只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴98	6	1	544	\spr\item\script\item_huangjintupu.spr	38	1	1	去天忍教室外杀刺猬100只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴99	6	1	545	\spr\item\script\item_huangjintupu.spr	38	1	1	去天忍教室外杀刺猬150只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴100	6	1	546	\spr\item\script\item_huangjintupu.spr	38	1	1	去天忍教室内第一层杀蝙蝠50只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴101	6	1	547	\spr\item\script\item_huangjintupu.spr	38	1	1	去天忍教室内第一层杀蝙蝠100只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴102	6	1	548	\spr\item\script\item_huangjintupu.spr	38	1	1	去天忍教室内第一层杀蝙蝠150只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴103	6	1	549	\spr\item\script\item_huangjintupu.spr	38	1	1	去七杀洞迷宫杀莽汉50个，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴104	6	1	550	\spr\item\script\item_huangjintupu.spr	38	1	1	去七杀洞迷宫杀莽汉100个，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴105	6	1	551	\spr\item\script\item_huangjintupu.spr	38	1	1	去七杀洞迷宫杀莽汉150个，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴106	6	1	552	\spr\item\script\item_huangjintupu.spr	38	1	1	去朱仙镇外杀白猪50只，同伴等级要求不低于1级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴107	6	1	553	\spr\item\script\item_huangjintupu.spr	38	1	1	去朱仙镇外杀白猪100只，同伴等级要求不低于1级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴108	6	1	554	\spr\item\script\item_huangjintupu.spr	38	1	1	去朱仙镇外杀白猪150只，同伴等级要求不低于1级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴109	6	1	555	\spr\item\script\item_huangjintupu.spr	38	1	1	去巴陵县外杀金猫50只，同伴等级要求不低于1级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴110	6	1	556	\spr\item\script\item_huangjintupu.spr	38	1	1	去巴陵县外杀金猫100只，同伴等级要求不低于1级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴111	6	1	557	\spr\item\script\item_huangjintupu.spr	38	1	1	去巴陵县外杀金猫150只，同伴等级要求不低于1级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴112	6	1	558	\spr\item\script\item_huangjintupu.spr	38	1	1	去南岳镇外杀刺猬50只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴113	6	1	559	\spr\item\script\item_huangjintupu.spr	38	1	1	去南岳镇外杀刺猬100只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴114	6	1	560	\spr\item\script\item_huangjintupu.spr	38	1	1	去南岳镇外杀刺猬150只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴115	6	1	561	\spr\item\script\item_huangjintupu.spr	38	1	1	去桃花源杀梅花鹿50只，同伴等级要求不低于65级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴116	6	1	562	\spr\item\script\item_huangjintupu.spr	38	1	1	去桃花源杀梅花鹿100只，同伴等级要求不低于65级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴117	6	1	563	\spr\item\script\item_huangjintupu.spr	38	1	1	去桃花源杀梅花鹿150只，同伴等级要求不低于65级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴118	6	1	564	\spr\item\script\item_huangjintupu.spr	38	1	1	去衡山派外杀金雕50只，同伴等级要求不低于55级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴119	6	1	565	\spr\item\script\item_huangjintupu.spr	38	1	1	去衡山派外杀金雕100只，同伴等级要求不低于55级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴120	6	1	566	\spr\item\script\item_huangjintupu.spr	38	1	1	去衡山派外杀金雕150只，同伴等级要求不低于55级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴121	6	1	567	\spr\item\script\item_huangjintupu.spr	38	1	1	去天王岛山洞杀金猫50只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴122	6	1	568	\spr\item\script\item_huangjintupu.spr	38	1	1	去天王岛山洞杀金猫100只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴123	6	1	569	\spr\item\script\item_huangjintupu.spr	38	1	1	去天王岛山洞杀金猫150只，同伴等级要求不低于5级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴124	6	1	570	\spr\item\script\item_huangjintupu.spr	38	1	1	去洞庭湖底山洞一层杀鳄鱼50只，同伴等级要求不低于45级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴125	6	1	571	\spr\item\script\item_huangjintupu.spr	38	1	1	去洞庭湖底山洞一层杀鳄鱼100只，同伴等级要求不低于45级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴126	6	1	572	\spr\item\script\item_huangjintupu.spr	38	1	1	去洞庭湖底山洞一层杀鳄鱼150只，同伴等级要求不低于45级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴127	6	1	573	\spr\item\script\item_huangjintupu.spr	38	1	1	去青螺岛杀蓝巾50个，同伴等级要求不低于55级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴128	6	1	574	\spr\item\script\item_huangjintupu.spr	38	1	1	去青螺岛杀蓝巾100个，同伴等级要求不低于55级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴129	6	1	575	\spr\item\script\item_huangjintupu.spr	38	1	1	去青螺岛杀蓝巾150个，同伴等级要求不低于55级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴130	6	1	576	\spr\item\script\item_huangjintupu.spr	38	1	1	去青螺岛山洞杀铁爪50个，同伴等级要求不低于65级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴131	6	1	577	\spr\item\script\item_huangjintupu.spr	38	1	1	去青螺岛山洞杀铁爪100个，同伴等级要求不低于65级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴132	6	1	578	\spr\item\script\item_huangjintupu.spr	38	1	1	去青螺岛山洞杀铁爪150个，同伴等级要求不低于65级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴133	6	1	579	\spr\item\script\item_huangjintupu.spr	38	1	1	去武陵山杀苍鹰50只，同伴等级要求不低于15级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴134	6	1	580	\spr\item\script\item_huangjintupu.spr	38	1	1	去武陵山杀苍鹰100只，同伴等级要求不低于15级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
同伴修练任务卷轴135	6	1	581	\spr\item\script\item_huangjintupu.spr	38	1	1	去武陵山杀苍鹰150只，同伴等级要求不低于15级。		100	1	0	\script\item\reward_partner.lua	0	1	1	0	1		0	0	0	0	0	0	0	0	0	0
