suffix name	Whether to prefix	Five Elements Attribute Requirements	Level requirements	Property adjustment category	Parameter 1 minimum value	Parameter 1 maximum value	Parameter 2 minimum value	Parameter 2 maximum value	Parameter 3 minimum value	Parameter 3 maximum value	Effect description	close range weapons	hidden weapon	armor	ring	necklace	boots	belt	helmet	wrist braces	waist pendant	horse
L«i s¸t ngo¹i c«ng	0	4	4	124	30	40	-1	-1	0	0	T¨ng L«i s¸t	80000	80000	0	0	0	0	0	0	0	0	0
L«i s¸t ngo¹i c«ng	0	4	5	124	40	50	-1	-1	0	0	T¨ng L«i s¸t	70000	70000	0	0	0	0	0	0	0	0	0
L«i s¸t ngo¹i c«ng	0	4	6	124	50	60	-1	-1	0	0	T¨ng L«i s¸t	60000	60000	0	0	0	0	0	0	0	0	0
L«i s¸t ngo¹i c«ng	0	4	7	124	60	70	-1	-1	0	0	T¨ng L«i s¸t	40000	40000	0	0	0	0	0	0	0	0	0
L«i s¸t ngo¹i c«ng	0	4	8	124	70	80	-1	-1	0	0	T¨ng L«i s¸t	30000	30000	0	0	0	0	0	0	0	0	0
L«i s¸t ngo¹i c«ng	0	4	9	124	80	90	-1	-1	0	0	T¨ng L«i s¸t	10000	10000	0	0	0	0	0	0	0	0	0
L«i s¸t ngo¹i c«ng	0	4	10	124	90	100	-1	-1	0	0	T¨ng L«i s¸t	5000	5000	0	0	0	0	0	0	0	0	0
ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc (Kim)	0	0	3	134	2	4	-1	-1	0	0	ChuyÓn hãa s¸t th­¬ng vËt lý thµnh Néi lùc	0	0	50000	0	0	50000	50000	50000	50000	0	0
ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc (Kim)	0	0	6	134	4	7	-1	-1	0	0	ChuyÓn hãa s¸t th­¬ng vËt lý thµnh Néi lùc	0	0	50000	0	0	50000	50000	50000	50000	0	0
ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc (Kim)	0	0	10	134	7	10	-1	-1	0	0	ChuyÓn hãa s¸t th­¬ng vËt lý thµnh Néi lùc	0	0	50000	0	0	50000	50000	50000	50000	0	0
Phßng thñ VËt lý	0	3	2	104	1	5	-1	-1	0	0	Bá qua s¸t th­¬ng vËt lý 	0	0	10000	0	0	10000	10000	10000	10000	0	0
Phßng thñ VËt lý	0	3	4	104	5	10	-1	-1	0	0	Bá qua s¸t th­¬ng vËt lý 	0	0	9000	0	0	9000	9000	9000	9000	0	0
Phßng thñ VËt lý	0	3	6	104	10	15	-1	-1	0	0	Bá qua s¸t th­¬ng vËt lý 	0	0	8000	0	0	8000	8000	8000	8000	0	0
Phßng thñ VËt lý	0	3	8	104	15	20	-1	-1	0	0	Bá qua s¸t th­¬ng vËt lý 	0	0	7000	0	0	7000	7000	7000	7000	0	0
Phßng thñ VËt lý	0	3	10	104	20	25	-1	-1	0	0	Bá qua s¸t th­¬ng vËt lý 	0	0	6000	0	0	6000	6000	6000	6000	0	0
Kh¸ng §éc	0	0	2	101	1	5	-1	-1	0	0	t¨ng kh¸ng ®éc	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
Kh¸ng §éc	0	0	4	101	5	10	-1	-1	0	0	t¨ng kh¸ng ®éc	400000	400000	400000	400000	400000	400000	400000	400000	400000	400000	0
Kh¸ng §éc	0	0	6	101	10	15	-1	-1	0	0	t¨ng kh¸ng ®éc	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0
Kh¸ng §éc	0	0	8	101	15	20	-1	-1	0	0	t¨ng kh¸ng ®éc	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
Kh¸ng §éc	0	0	10	101	20	25	-1	-1	0	0	t¨ng kh¸ng ®éc	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
Kh¸ng B¨ng	0	4	2	105	1	5	-1	-1	0	0	T¨ng kh¸ng b¨ng	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
Kh¸ng B¨ng	0	4	4	105	5	10	-1	-1	0	0	T¨ng kh¸ng b¨ng	400000	400000	400000	400000	400000	400000	400000	400000	400000	400000	0
Kh¸ng B¨ng	0	4	6	105	10	15	-1	-1	0	0	T¨ng kh¸ng b¨ng	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0
Kh¸ng B¨ng	0	4	8	105	15	20	-1	-1	0	0	T¨ng kh¸ng b¨ng	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
Kh¸ng B¨ng	0	4	10	105	20	25	-1	-1	0	0	T¨ng kh¸ng b¨ng	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
Kh¸ng Ho¶	0	2	2	102	1	5	-1	-1	0	0	t¨ng kh¸ng Háa	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
Kh¸ng Ho¶	0	2	4	102	5	10	-1	-1	0	0	t¨ng kh¸ng Háa	400000	400000	400000	400000	400000	400000	400000	400000	400000	400000	0
Kh¸ng Ho¶	0	2	6	102	10	15	-1	-1	0	0	t¨ng kh¸ng Háa	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0
Kh¸ng Ho¶	0	2	8	102	15	20	-1	-1	0	0	t¨ng kh¸ng Háa	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
Kh¸ng Ho¶	0	2	10	102	20	25	-1	-1	0	0	t¨ng kh¸ng Háa	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
Kh¸ng L«i	0	1	1	103	1	5	-1	-1	0	0	T¨ng kh¸ng L«i	500000	500000	500000	500000	500000	500000	500000	500000	500000	500000	0
Kh¸ng L«i	0	1	4	103	5	10	-1	-1	0	0	T¨ng kh¸ng L«i	400000	400000	400000	400000	400000	400000	400000	400000	400000	400000	0
Kh¸ng L«i	0	1	7	103	10	15	-1	-1	0	0	T¨ng kh¸ng L«i	300000	300000	300000	300000	300000	300000	300000	300000	300000	300000	0
Kh¸ng L«i	0	1	8	103	15	20	-1	-1	0	0	T¨ng kh¸ng L«i	200000	200000	200000	200000	200000	200000	200000	200000	200000	200000	0
Kh¸ng L«i	0	1	10	103	20	30	-1	-1	0	0	T¨ng kh¸ng L«i	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc (Thuû)	0	2	3	134	2	6	-1	-1	0	0	ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	0
ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc (Thuû)	0	2	6	134	6	10	-1	-1	0	0	ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	0
ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc (Thuû)	0	2	10	134	10	15	-1	-1	0	0	ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	0
ThÓ lùc	0	2	1	99	1	2	-1	-1	0	0	T¨ng thÓ lùc 	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
ThÓ lùc	0	2	2	99	3	4	-1	-1	0	0	T¨ng thÓ lùc 	90000	90000	90000	90000	90000	90000	90000	90000	90000	90000	0
ThÓ lùc	0	2	3	99	5	6	-1	-1	0	0	T¨ng thÓ lùc 	80000	80000	80000	80000	80000	80000	80000	80000	80000	80000	0
ThÓ lùc	0	2	4	99	7	8	-1	-1	0	0	T¨ng thÓ lùc 	70000	70000	70000	70000	70000	70000	70000	70000	70000	70000	0
ThÓ lùc	0	2	5	99	9	10	-1	-1	0	0	T¨ng thÓ lùc 	60000	60000	60000	60000	60000	60000	60000	60000	60000	60000	0
ThÓ lùc	0	2	6	99	11	12	-1	-1	0	0	T¨ng thÓ lùc 	50000	50000	50000	50000	50000	50000	50000	50000	50000	50000	0
ThÓ lùc	0	2	7	99	13	14	-1	-1	0	0	T¨ng thÓ lùc 	40000	40000	40000	40000	40000	40000	40000	40000	40000	40000	0
ThÓ lùc	0	2	8	99	15	16	-1	-1	0	0	T¨ng thÓ lùc 	30000	30000	30000	30000	30000	30000	30000	30000	30000	30000	0
ThÓ lùc	0	2	9	99	17	18	-1	-1	0	0	T¨ng thÓ lùc 	20000	20000	20000	20000	20000	20000	20000	20000	20000	20000	0
ThÓ lùc	0	2	10	99	19	20	-1	-1	0	0	T¨ng thÓ lùc 	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0
Thêi gian cho¸ng	0	2	4	110	20	20	-1	-1	0	0	Gi¶m thêi gian cho¸ng	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
Thêi gian cho¸ng	0	2	7	110	30	30	-1	-1	0	0	Gi¶m thêi gian cho¸ng	75000	75000	75000	75000	75000	75000	75000	75000	75000	75000	0
Thêi gian cho¸ng	0	2	10	110	40	40	-1	-1	0	0	Gi¶m thêi gian cho¸ng	50000	50000	50000	50000	50000	50000	50000	50000	50000	50000	0
ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc (Méc)	0	1	3	134	2	6	-1	-1	0	0	Gi¶m thêi gian tróng ®éc	0	0	1200	1200	1200	1200	1200	1200	1200	1200	0
ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc (Méc)	0	1	6	134	6	10	-1	-1	0	0	Gi¶m thêi gian tróng ®éc	0	0	1200	1200	1200	1200	1200	1200	1200	1200	0
ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc (Méc)	0	1	10	134	10	15	-1	-1	0	0	Gi¶m thêi gian tróng ®éc	0	0	1200	1200	1200	1200	1200	1200	1200	1200	0
May m¾n	0	1	1	135	1	1	-1	-1	0	0	T¨ng May m¾n	0	0	0	10000	10000	0	0	0	0	10000	0
May m¾n	0	1	2	135	2	2	-1	-1	0	0	T¨ng May m¾n	0	0	0	9000	9000	0	0	0	0	9000	0
May m¾n	0	1	3	135	3	3	-1	-1	0	0	T¨ng May m¾n	0	0	0	8000	8000	0	0	0	0	8000	0
May m¾n	0	1	4	135	4	4	-1	-1	0	0	T¨ng May m¾n	0	0	0	7000	7000	0	0	0	0	7000	0
May m¾n	0	1	5	135	5	5	-1	-1	0	0	T¨ng May m¾n	0	0	0	6000	6000	0	0	0	0	6000	0
May m¾n	0	1	6	135	6	6	-1	-1	0	0	T¨ng May m¾n	0	0	0	5000	5000	0	0	0	0	5000	0
May m¾n	0	1	7	135	7	7	-1	-1	0	0	T¨ng May m¾n	0	0	0	4000	4000	0	0	0	0	4000	0
May m¾n	0	1	8	135	8	8	-1	-1	0	0	T¨ng May m¾n	0	0	0	3000	3000	0	0	0	0	3000	0
May m¾n	0	1	9	135	9	9	-1	-1	0	0	T¨ng May m¾n	0	0	0	2000	2000	0	0	0	0	2000	0
May m¾n	0	1	10	135	10	10	-1	-1	0	0	T¨ng May m¾n	0	0	0	1000	1000	0	0	0	0	1000	0
ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc (Ho¶)	0	3	3	134	2	6	-1	-1	0	0	ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc	0	0	1200	0	0	1200	1200	1200	1200	0	0
ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc (Ho¶)	0	3	6	134	6	10	-1	-1	0	0	ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc	0	0	1200	0	0	1200	1200	1200	1200	0	0
ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc (Ho¶)	0	3	10	134	10	15	-1	-1	0	0	ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc	0	0	1200	0	0	1200	1200	1200	1200	0	0
Thêi gian lµm chËm	0	3	3	106	20	20	-1	-1	0	0	Gi¶m thêi gian lµm chËm	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
Thêi gian lµm chËm	0	3	6	106	30	30	-1	-1	0	0	Gi¶m thêi gian lµm chËm	75000	75000	75000	75000	75000	75000	75000	75000	75000	75000	0
Thêi gian lµm chËm	0	3	10	106	40	40	-1	-1	0	0	Gi¶m thêi gian lµm chËm	50000	50000	50000	50000	50000	50000	50000	50000	50000	50000	0
Th©n ph¸p	0	3	1	98	1	2	-1	-1	0	0	T¨ng nhanh nhÑn	0	0	100000	100000	100000	100000	100000	100000	100000	100000	0
Th©n ph¸p	0	3	2	98	3	4	-1	-1	0	0	T¨ng nhanh nhÑn	0	0	90000	90000	90000	90000	90000	90000	90000	90000	0
Th©n ph¸p	0	3	3	98	5	6	-1	-1	0	0	T¨ng nhanh nhÑn	0	0	80000	80000	80000	80000	80000	80000	80000	80000	0
Th©n ph¸p	0	3	4	98	7	8	-1	-1	0	0	T¨ng nhanh nhÑn	0	0	70000	70000	70000	70000	70000	70000	70000	70000	0
Th©n ph¸p	0	3	5	98	9	10	-1	-1	0	0	T¨ng nhanh nhÑn	0	0	60000	60000	60000	60000	60000	60000	60000	60000	0
Th©n ph¸p	0	3	6	98	11	12	-1	-1	0	0	T¨ng nhanh nhÑn	0	0	50000	50000	50000	50000	50000	50000	50000	50000	0
Th©n ph¸p	0	3	7	98	13	14	-1	-1	0	0	T¨ng nhanh nhÑn	0	0	40000	40000	40000	40000	40000	40000	40000	40000	0
Th©n ph¸p	0	3	8	98	15	16	-1	-1	0	0	T¨ng nhanh nhÑn	0	0	30000	30000	30000	30000	30000	30000	30000	30000	0
Th©n ph¸p	0	3	9	98	17	18	-1	-1	0	0	T¨ng nhanh nhÑn	0	0	20000	20000	20000	20000	20000	20000	20000	20000	0
Th©n ph¸p	0	3	10	98	19	20	-1	-1	0	0	T¨ng nhanh nhÑn	0	0	10000	10000	10000	10000	10000	10000	10000	10000	0
ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc (Thæ)	0	4	3	134	2	6	-1	-1	0	0	ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	0
ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc (Thæ)	0	4	6	134	6	10	-1	-1	0	0	ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	0
ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc (Thæ)	0	4	10	134	10	15	-1	-1	0	0	ChuyÓn ho¸ s¸t th­¬ng thµnh néi lùc	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	0
Thêi gian tróng ®éc	0	4	4	108	20	20	-1	-1	0	0	Gi¶m thêi gian tróng ®éc	100000	100000	100000	100000	100000	100000	100000	100000	100000	100000	0
Thêi gian tróng ®éc	0	4	6	108	30	30	-1	-1	0	0	Gi¶m thêi gian tróng ®éc	75000	75000	75000	75000	75000	75000	75000	75000	75000	75000	0
Thêi gian tróng ®éc	0	4	10	108	40	40	-1	-1	0	0	Gi¶m thêi gian tróng ®éc	50000	50000	50000	50000	50000	50000	50000	50000	50000	50000	0
T¨ng Kü n¨ng hÖ Kim	0	0	2	140	1	1	-1	-1	0	0	T¨ng Kü n¨ng hÖ Kim	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Kim	0	0	4	140	2	2	-1	-1	0	0	T¨ng Kü n¨ng hÖ Kim	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Kim	0	0	6	140	3	3	-1	-1	0	0	T¨ng Kü n¨ng hÖ Kim	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Kim	0	0	8	140	4	4	-1	-1	0	0	T¨ng Kü n¨ng hÖ Kim	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Kim	0	0	10	140	5	5	-1	-1	0	0	T¨ng Kü n¨ng hÖ Kim	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Thñy	0	2	2	142	1	1	-1	-1	0	0	T¨ng Kü n¨ng hÖ Thñy	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Thñy	0	2	4	142	2	2	-1	-1	0	0	T¨ng Kü n¨ng hÖ Thñy	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Thñy	0	2	6	142	3	3	-1	-1	0	0	T¨ng Kü n¨ng hÖ Thñy	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Thñy	0	2	8	142	4	4	-1	-1	0	0	T¨ng Kü n¨ng hÖ Thñy	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Thñy	0	2	10	142	5	5	-1	-1	0	0	T¨ng Kü n¨ng hÖ Thñy	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Méc	0	1	2	141	1	1	-1	-1	0	0	T¨ng Kü n¨ng hÖ Méc	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Méc	0	1	4	141	2	2	-1	-1	0	0	T¨ng Kü n¨ng hÖ Méc	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Méc	0	1	6	141	3	3	-1	-1	0	0	T¨ng Kü n¨ng hÖ Méc	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Méc	0	1	8	141	4	4	-1	-1	0	0	T¨ng Kü n¨ng hÖ Méc	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Méc	0	1	10	141	5	5	-1	-1	0	0	T¨ng Kü n¨ng hÖ Méc	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Háa	0	3	2	143	1	1	-1	-1	0	0	T¨ng Kü n¨ng hÖ Háa	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Háa	0	3	4	143	2	2	-1	-1	0	0	T¨ng Kü n¨ng hÖ Háa	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Háa	0	3	6	143	3	3	-1	-1	0	0	T¨ng Kü n¨ng hÖ Háa	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Háa	0	3	8	143	4	4	-1	-1	0	0	T¨ng Kü n¨ng hÖ Háa	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Háa	0	3	10	143	5	5	-1	-1	0	0	T¨ng Kü n¨ng hÖ Háa	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Thæ 	0	4	2	144	1	1	-1	-1	0	0	T¨ng Kü n¨ng hÖ Thæ 	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Thæ 	0	4	4	144	2	2	-1	-1	0	0	T¨ng Kü n¨ng hÖ Thæ 	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Thæ 	0	4	6	144	3	3	-1	-1	0	0	T¨ng Kü n¨ng hÖ Thæ 	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Thæ 	0	4	8	144	4	4	-1	-1	0	0	T¨ng Kü n¨ng hÖ Thæ 	0	0	0	0	0	0	0	0	0	0	0
T¨ng Kü n¨ng hÖ Thæ 	0	4	10	144	5	5	-1	-1	0	0	T¨ng Kü n¨ng hÖ Thæ 	0	0	0	0	0	0	0	0	0	0	0
STVL néi c«ng (®iÓm)	0	0	1	168	1	20	-1	-1	0	0	STVL néi c«ng (®iÓm)	2000	2000	0	0	0	0	0	0	0	0	0
STVL néi c«ng (®iÓm)	0	0	2	168	20	40	-1	-1	0	0	STVL néi c«ng (®iÓm)	2000	2000	0	0	0	0	0	0	0	0	0
STVL néi c«ng (®iÓm)	0	0	3	168	40	60	-1	-1	0	0	STVL néi c«ng (®iÓm)	2000	2000	0	0	0	0	0	0	0	0	0
STVL néi c«ng (®iÓm)	0	0	4	168	60	80	-1	-1	0	0	STVL néi c«ng (®iÓm)	2000	2000	0	0	0	0	0	0	0	0	0
STVL néi c«ng (®iÓm)	0	0	5	168	80	100	-1	-1	0	0	STVL néi c«ng (®iÓm)	2000	2000	0	0	0	0	0	0	0	0	0
STVL néi c«ng (®iÓm)	0	0	6	168	100	120	-1	-1	0	0	STVL néi c«ng (®iÓm)	1800	1800	0	0	0	0	0	0	0	0	0
STVL néi c«ng (®iÓm)	0	0	7	168	120	140	-1	-1	0	0	STVL néi c«ng (®iÓm)	1600	1600	0	0	0	0	0	0	0	0	0
STVL néi c«ng (®iÓm)	0	0	8	168	140	160	-1	-1	0	0	STVL néi c«ng (®iÓm)	1400	1400	0	0	0	0	0	0	0	0	0
STVL néi c«ng (®iÓm)	0	0	9	168	160	180	-1	-1	0	0	STVL néi c«ng (®iÓm)	1200	1200	0	0	0	0	0	0	0	0	0
STVL néi c«ng (®iÓm)	0	0	10	168	180	200	-1	-1	0	0	STVL néi c«ng (®iÓm)	1000	1000	0	0	0	0	0	0	0	0	0
B¨ng s¸t néi c«ng	0	2	1	169	1	20	-1	-1	0	0	B¨ng s¸t néi c«ng	2000	2000	0	0	0	0	0	0	0	0	0
B¨ng s¸t néi c«ng	0	2	2	169	20	40	-1	-1	0	0	B¨ng s¸t néi c«ng	2000	2000	0	0	0	0	0	0	0	0	0
B¨ng s¸t néi c«ng	0	2	3	169	40	60	-1	-1	0	0	B¨ng s¸t néi c«ng	2000	2000	0	0	0	0	0	0	0	0	0
B¨ng s¸t néi c«ng	0	2	4	169	60	80	-1	-1	0	0	B¨ng s¸t néi c«ng	2000	2000	0	0	0	0	0	0	0	0	0
B¨ng s¸t néi c«ng	0	2	5	169	80	100	-1	-1	0	0	B¨ng s¸t néi c«ng	2000	2000	0	0	0	0	0	0	0	0	0
B¨ng s¸t néi c«ng	0	2	6	169	100	120	-1	-1	0	0	B¨ng s¸t néi c«ng	1800	1800	0	0	0	0	0	0	0	0	0
B¨ng s¸t néi c«ng	0	2	7	169	120	140	-1	-1	0	0	B¨ng s¸t néi c«ng	1600	1600	0	0	0	0	0	0	0	0	0
B¨ng s¸t néi c«ng	0	2	8	169	140	160	-1	-1	0	0	B¨ng s¸t néi c«ng	1400	1400	0	0	0	0	0	0	0	0	0
B¨ng s¸t néi c«ng	0	2	9	169	160	180	-1	-1	0	0	B¨ng s¸t néi c«ng	1200	1200	0	0	0	0	0	0	0	0	0
B¨ng s¸t néi c«ng	0	2	10	169	180	200	-1	-1	0	0	B¨ng s¸t néi c«ng	1000	1000	0	0	0	0	0	0	0	0	0
Ho¶ s¸t néi c«ng	0	3	1	170	1	20	-1	-1	0	0	Ho¶ s¸t néi c«ng	2000	2000	0	0	0	0	0	0	0	0	0
Ho¶ s¸t néi c«ng	0	3	2	170	20	40	-1	-1	0	0	Ho¶ s¸t néi c«ng	2000	2000	0	0	0	0	0	0	0	0	0
Ho¶ s¸t néi c«ng	0	3	3	170	40	60	-1	-1	0	0	Ho¶ s¸t néi c«ng	2000	2000	0	0	0	0	0	0	0	0	0
Ho¶ s¸t néi c«ng	0	3	4	170	60	80	-1	-1	0	0	Ho¶ s¸t néi c«ng	2000	2000	0	0	0	0	0	0	0	0	0
Ho¶ s¸t néi c«ng	0	3	5	170	80	100	-1	-1	0	0	Ho¶ s¸t néi c«ng	2000	2000	0	0	0	0	0	0	0	0	0
Ho¶ s¸t néi c«ng	0	3	6	170	100	120	-1	-1	0	0	Ho¶ s¸t néi c«ng	1800	1800	0	0	0	0	0	0	0	0	0
Ho¶ s¸t néi c«ng	0	3	7	170	120	140	-1	-1	0	0	Ho¶ s¸t néi c«ng	1600	1600	0	0	0	0	0	0	0	0	0
Ho¶ s¸t néi c«ng	0	3	8	170	140	160	-1	-1	0	0	Ho¶ s¸t néi c«ng	1400	1400	0	0	0	0	0	0	0	0	0
Ho¶ s¸t néi c«ng	0	3	9	170	160	180	-1	-1	0	0	Ho¶ s¸t néi c«ng	1200	1200	0	0	0	0	0	0	0	0	0
Ho¶ s¸t néi c«ng	0	3	10	170	180	200	-1	-1	0	0	T¨ng S¸t th­¬ng hÖ Háa	1000	1000	0	0	0	0	0	0	0	0	0
L«i s¸t néi c«ng	0	4	1	171	1	20	-1	-1	0	0	L«i s¸t néi c«ng	2000	2000	0	0	0	0	0	0	0	0	0
L«i s¸t néi c«ng	0	4	2	171	20	40	-1	-1	0	0	L«i s¸t néi c«ng	2000	2000	0	0	0	0	0	0	0	0	0
L«i s¸t néi c«ng	0	4	3	171	40	60	-1	-1	0	0	L«i s¸t néi c«ng	2000	2000	0	0	0	0	0	0	0	0	0
L«i s¸t néi c«ng	0	4	4	171	60	80	-1	-1	0	0	L«i s¸t néi c«ng	2000	2000	0	0	0	0	0	0	0	0	0
L«i s¸t néi c«ng	0	4	5	171	80	100	-1	-1	0	0	L«i s¸t néi c«ng	2000	2000	0	0	0	0	0	0	0	0	0
L«i s¸t néi c«ng	0	4	6	171	100	120	-1	-1	0	0	L«i s¸t néi c«ng	1800	1800	0	0	0	0	0	0	0	0	0
L«i s¸t néi c«ng	0	4	7	171	120	140	-1	-1	0	0	L«i s¸t néi c«ng	1600	1600	0	0	0	0	0	0	0	0	0
L«i s¸t néi c«ng	0	4	8	171	140	160	-1	-1	0	0	L«i s¸t néi c«ng	1400	1400	0	0	0	0	0	0	0	0	0
L«i s¸t néi c«ng	0	4	9	171	160	180	-1	-1	0	0	L«i s¸t néi c«ng	1200	1200	0	0	0	0	0	0	0	0	0
L«i s¸t néi c«ng	0	4	10	171	180	200	-1	-1	0	0	L«i s¸t néi c«ng	1000	1000	0	0	0	0	0	0	0	0	0
§éc s¸t néi c«ng	0	1	1	172	1	5	-1	-1	0	0	§éc s¸t néi c«ng	2000	2000	0	0	0	0	0	0	0	0	0
§éc s¸t néi c«ng	0	1	2	172	5	10	-1	-1	0	0	§éc s¸t néi c«ng	2000	2000	0	0	0	0	0	0	0	0	0
§éc s¸t néi c«ng	0	1	3	172	10	15	-1	-1	0	0	§éc s¸t néi c«ng	2000	2000	0	0	0	0	0	0	0	0	0
§éc s¸t néi c«ng	0	1	4	172	15	20	-1	-1	0	0	§éc s¸t néi c«ng	2000	2000	0	0	0	0	0	0	0	0	0
§éc s¸t néi c«ng	0	1	5	172	20	25	-1	-1	0	0	§éc s¸t néi c«ng	2000	2000	0	0	0	0	0	0	0	0	0
§éc s¸t néi c«ng	0	1	6	172	25	30	-1	-1	0	0	§éc s¸t néi c«ng	1800	1800	0	0	0	0	0	0	0	0	0
§éc s¸t néi c«ng	0	1	7	172	30	35	-1	-1	0	0	§éc s¸t néi c«ng	1600	1600	0	0	0	0	0	0	0	0	0
§éc s¸t néi c«ng	0	1	8	172	35	40	-1	-1	0	0	§éc s¸t néi c«ng	1400	1400	0	0	0	0	0	0	0	0	0
§éc s¸t néi c«ng	0	1	9	172	40	45	-1	-1	0	0	§éc s¸t néi c«ng	1200	1200	0	0	0	0	0	0	0	0	0
§éc s¸t néi c«ng	0	1	10	172	45	50	-1	-1	0	0	§éc s¸t néi c«ng	1000	1000	0	0	0	0	0	0	0	0	0
