Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ð	ÏêÏ¸Àà±ð	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1(0¼¶)	Ä§·¨ÊôÐÔË÷Òý1(10¼¶)	Ä§·¨ÊôÐÔË÷Òý2(0¼¶)	Ä§·¨ÊôÐÔË÷Òý2(10¼¶)	Ä§·¨ÊôÐÔË÷Òý3(0¼¶)	Ä§·¨ÊôÐÔË÷Òý3(10¼¶)	Ä§·¨ÊôÐÔË÷Òý4(0¼¶)	Ä§·¨ÊôÐÔË÷Òý4(10¼¶)	Ä§·¨ÊôÐÔË÷Òý5(0¼¶)	Ä§·¨ÊôÐÔË÷Òý5(10¼¶)	Ä§·¨ÊôÐÔË÷Òý6(0¼¶)	Ä§·¨ÊôÐÔË÷Òý6(10¼¶)	ËùÔÚÌ××°	6¼¶¼¼ÄÜID	10¼¶¼¼ÄÜID	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ	»ù´¡±ø¼×Öµ	ÊÇ·ñ¿ÉÉýÐÇ×°±¸	¿ÉÏâÇ¶ÐÇ³½Ê¯ÊýÁ¿	×°±¸Í»ÆÆ×£¸£Öµ	×¢ÁéÎ»ÖÃÊýÁ¿	ÏÔÊ¾Í¼±êID
[HuyÒn Kim] XÝch L©n Thõa Long §Çu Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap25.spr	28	2	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ C¸i Bang Ch­ëng Ph¸p mãn thø 2"	3	99999	10	0	30	360	360	31	85	85																36	120	39	6									958	959	897	898	978	979	1200	1201	1337	1338	1297	1298	259			200	2	1430	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Thõa Long Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring23.spr	37	1	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ C¸i Bang Ch­ëng Ph¸p mãn thø 3"	4	99999	10	0																						36	120	39	6									957	958	877	878	977	978	1020	1021	1337	1338	1297	1298	259			200	3	130		3	8	4800					
[HuyÒn Kim] XÝch L©n Thõa Long Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle25.spr	34	1	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ C¸i Bang Ch­ëng Ph¸p mãn thø 4"	0	99999	10	0	30	135	135	31	80	80																36	120	39	6									958	959	917	918	978	979	1220	1221	1337	1338	1297	1298	259			200	4	1430	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Thõa Long Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash25.spr	32	2	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ C¸i Bang Ch­ëng Ph¸p mãn thø 5"	2	99999	10	0	30	160	160	31	80	80																36	120	39	6									958	959	937	938	977	978	1180	1181	1337	1338	1297	1298	259			200	5	1677	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Thõa Long C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth25.spr	22	2	3	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ C¸i Bang Ch­ëng Ph¸p mãn thø 6"	1	99999	10	0	30	720	720	31	90	90																36	120	39	6									958	959	857	858	977	978	1020	1021	2724	2724	1297	1298	259			200	6	1430	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Thõa Long TriÒn Thñ	0	0	6	\spr\item\equip\closeweapon\obj-glove04.spr	9	1	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ C¸i Bang Ch­ëng Ph¸p mãn thø 7"	3	99999	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	120	39	6									2720	2720	897	898	1140	1141	1200	1201	1337	1338	1297	1298	259			200	7	1430	130	3	8	4800					
[HuyÒn Kim] XÝch L©n Thõa Long Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes25.spr	26	2	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ C¸i Bang Ch­ëng Ph¸p mãn thø 8"	4	99999	10	0	30	160	160	31	80	80																36	120	39	6									958	959	877	878	977	978	1020	1021	1260	1261	1297	1298	259			200	8	1678	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Thõa Long Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist26.spr	36	1	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ C¸i Bang Ch­ëng Ph¸p mãn thø 9"	0	99999	10	0																						36	120	39	6									957	958	917	918	978	979	1220	1221	1337	1338	1297	1298	259			200	9	1430	1418	3	8	4800					
[HuyÒn Kim] XÝch L©n Thõa Long H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring24.spr	37	1	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ C¸i Bang Ch­ëng Ph¸p mãn thø 10"	2	99999	10	0																						36	120	39	6									957	958	937	938	978	979	1180	1181	1337	1338	1297	1298	259			200	10	130		3	8	4800					
[HuyÒn Kim] XÝch L©n Gi¸ng Long H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck25.spr	36	2	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ C¸i Bang C«n Ph¸p mãn thø 1"	0	99999	10	0																						36	120	39	6									957	958	857	858	977	978	1020	1021	1000	1001	1297	1298	260			201	1	1680	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Gi¸ng Long §Çu Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap25.spr	28	2	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ C¸i Bang C«n Ph¸p mãn thø 2"	2	99999	10	0	30	360	360	31	85	85																36	120	39	6									958	959	897	898	978	979	1200	1201	1337	1338	1297	1298	260			201	2	1430	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Gi¸ng Long Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring23.spr	37	1	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ C¸i Bang C«n Ph¸p mãn thø 3"	1	99999	10	0																						36	120	39	6									957	958	877	878	977	978	1020	1021	1337	1338	1297	1298	260			201	3	130		3	8	4800					
[HuyÒn Kim] XÝch L©n Gi¸ng Long Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle25.spr	34	1	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ C¸i Bang C«n Ph¸p mãn thø 4"	3	99999	10	0	30	135	135	31	80	80																36	120	39	6									958	959	917	918	978	979	1220	1221	1337	1338	1297	1298	260			201	4	1681	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Gi¸ng Long Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash25.spr	33	2	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ C¸i Bang C«n Ph¸p mãn thø 5"	4	99999	10	0	30	160	160	31	80	80																36	120	39	6									958	959	937	938	977	978	1180	1181	1337	1338	1297	1298	260			201	5	1430	1419	3	8	4800					
[HuyÒn Kim] XÝch L©n Gi¸ng Long C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth25.spr	22	2	3	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ C¸i Bang C«n Ph¸p mãn thø 6"	0	99999	10	0	30	720	720	31	90	90																36	120	39	6									958	959	857	858	977	978	1020	1021	2724	2724	1297	1298	260			201	6	1430	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Gi¸ng Long Bæng	0	0	2	\spr\item\equip\closeweapon\obj-staff15.spr	11	1	4	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ C¸i Bang C«n Ph¸p mãn thø 7"	2	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	120	39	6									2715	2715	897	898	1080	1081	1200	1201	1322	1323	1297	1298	260			201	7	1430	130	3	8	4800					
[HuyÒn Kim] XÝch L©n Gi¸ng Long Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes25.spr	26	2	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ C¸i Bang C«n Ph¸p mãn thø 8"	1	99999	10	0	30	160	160	31	80	80																36	120	39	6									958	959	877	878	977	978	1020	1021	1260	1261	1297	1298	260			201	8	1430	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Gi¸ng Long Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist26.spr	36	1	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ C¸i Bang C«n Ph¸p mãn thø 9"	3	99999	10	0																						36	120	39	6									957	958	917	918	978	979	1220	1221	1337	1338	1297	1298	260			201	9	1682	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Gi¸ng Long H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring24.spr	37	1	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ C¸i Bang C«n Ph¸p mãn thø 10"	4	99999	10	0																						36	120	39	6									957	958	937	938	978	979	1180	1181	1337	1338	1297	1298	260			201	10	130		3	8	4800					
[HuyÒn Kim] XÝch L©n Nhiªn Kh«n H¹ng Khuyªn	0	4	1	\spr\item\equip\nick\obj-neck22.spr	36	2	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Thiªn NhÉn M©u Ph¸p mãn thø 1"	0	99999	10	0																						36	120	39	7									957	958	857	858	977	978	1020	1021	1000	1001	1297	1298	261			202	1	1684	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Nhiªn Kh«n Kh«i	0	7	2	\spr\item\equip\cap\obj-ma-cap26.spr	28	2	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Thiªn NhÉn M©u Ph¸p mãn thø 2"	2	99999	10	0	30	360	360	31	85	85																36	120	39	7									958	959	897	898	978	979	1200	1201	1337	1338	1297	1298	261			202	2	1430	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Nhiªn Kh«n Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring17.spr	37	1	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Thiªn NhÉn M©u Ph¸p mãn thø 3"	1	99999	10	0																						36	120	39	7									957	958	877	878	977	978	1020	1021	1337	1338	1297	1298	261			202	3	130		3	8	4800					
[HuyÒn Kim] XÝch L©n Nhiªn Kh«n Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle26.spr	34	1	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Thiªn NhÉn M©u Ph¸p mãn thø 4"	3	99999	10	0	30	135	135	31	80	80																36	120	39	7									958	959	917	918	978	979	1220	1221	1337	1338	1297	1298	261			202	4	1685	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Nhiªn Kh«n Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash26.spr	33	2	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Thiªn NhÉn M©u Ph¸p mãn thø 5"	4	99999	10	0	30	160	160	31	80	80																36	120	39	7									958	959	937	938	977	978	1180	1181	1337	1338	1297	1298	261			202	5	1430	1420	3	8	4800					
[HuyÒn Kim] XÝch L©n Nhiªn Kh«n Gi¸p Y	0	2	16	\spr\item\equip\armor\obj-ma-cloth26.spr	23	2	3	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Thiªn NhÉn M©u Ph¸p mãn thø 6"	0	99999	10	0	30	720	720	31	90	90																36	120	39	7									958	959	857	858	977	978	1020	1021	2724	2724	1297	1298	261			202	6	1430	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Nhiªn Kh«n Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear05.spr	12	1	4	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Thiªn NhÉn M©u Ph¸p mãn thø 7"	2	99999	10	0	28	18	18	29	158	158	167	-30	-30	31	99	99										36	120	39	7									2716	2716	897	898	1080	1081	1200	1201	1322	1323	1297	1298	261			202	7	1430	130	3	8	4800					
[HuyÒn Kim] XÝch L©n Nhiªn Kh«n Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes26.spr	26	2	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Thiªn NhÉn M©u Ph¸p mãn thø 8"	1	99999	10	0	30	160	160	31	80	80																36	120	39	7									958	959	877	878	977	978	1020	1021	1260	1261	1297	1298	261			202	8	1430	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Nhiªn Kh«n Béi	0	9	1	\spr\item\equip\waist\obj-waist22.spr	36	1	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Thiªn NhÉn M©u Ph¸p mãn thø 9"	3	99999	10	0																						36	120	39	7									957	958	917	918	978	979	1220	1221	1337	1338	1297	1298	261			202	9	1686	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Nhiªn Kh«n H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring18.spr	37	1	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Thiªn NhÉn M©u Ph¸p mãn thø 10"	4	99999	10	0																						36	120	39	7									957	958	937	938	978	979	1180	1181	1337	1338	1297	1298	261			202	10	130		3	8	4800					
[HuyÒn Kim] XÝch L©n To¹i Tinh H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck22.spr	36	2	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Thiªn NhÉn §ao Ph¸p mãn thø 1"	1	99999	10	0																						36	120	39	7									957	958	857	858	977	978	1020	1021	1000	1001	1297	1298	262			203	1	1688	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n To¹i Tinh Qu¸n MiÖn	0	7	2	\spr\item\equip\cap\obj-ma-cap26.spr	28	2	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Thiªn NhÉn §ao Ph¸p mãn thø 2"	3	99999	10	0	30	360	360	31	85	85																36	120	39	7									958	959	897	898	978	979	1200	1201	1337	1338	1297	1298	262			203	2	1430	1421	3	8	4800					
[HuyÒn Kim] XÝch L©n To¹i Tinh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring17.spr	37	1	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Thiªn NhÉn §ao Ph¸p mãn thø 3"	4	99999	10	0																						36	120	39	7									957	958	877	878	977	978	1020	1021	1337	1338	1297	1298	262			203	3	130		3	8	4800					
[HuyÒn Kim] XÝch L©n To¹i Tinh Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle26.spr	34	1	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Thiªn NhÉn §ao Ph¸p mãn thø 4"	0	99999	10	0	30	135	135	31	80	80																36	120	39	7									958	959	917	918	978	979	1220	1221	1337	1338	1297	1298	262			203	4	1689	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n To¹i Tinh Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash26.spr	33	2	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Thiªn NhÉn §ao Ph¸p mãn thø 5"	2	99999	10	0	30	160	160	31	80	80																36	120	39	7									958	959	937	938	977	978	1180	1181	1337	1338	1297	1298	262			203	5	1430	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n To¹i Tinh Gi¸p Y	0	2	16	\spr\item\equip\armor\obj-ma-cloth26.spr	23	2	3	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Thiªn NhÉn §ao Ph¸p mãn thø 6"	1	99999	10	0	30	720	720	31	90	90																36	120	39	7									958	959	857	858	977	978	1020	1021	2724	2724	1297	1298	262			203	6	1430	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n To¹i Tinh §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade26.spr	10	1	3	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Thiªn NhÉn §ao Ph¸p mãn thø 7"	3	99999	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	120	39	7									2719	2719	897	898	1140	1141	1200	1201	1337	1338	1297	1298	262			203	7	1430	130	3	8	4800					
[HuyÒn Kim] XÝch L©n To¹i Tinh Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes26.spr	26	2	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Thiªn NhÉn §ao Ph¸p mãn thø 8"	4	99999	10	0	30	160	160	31	80	80																36	120	39	7									958	959	877	878	977	978	1020	1021	1260	1261	1297	1298	262			203	8	1430	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n To¹i Tinh Béi	0	9	1	\spr\item\equip\waist\obj-waist22.spr	34	1	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Thiªn NhÉn §ao Ph¸p mãn thø 9"	0	99999	10	0																						36	120	39	7									957	958	917	918	978	979	1220	1221	1337	1338	1297	1298	262			203	9	1690	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n To¹i Tinh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring18.spr	37	1	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Thiªn NhÉn §ao Ph¸p mãn thø 10"	2	99999	10	0																						36	120	39	7									957	958	937	938	978	979	1180	1181	1337	1338	1297	1298	262			203	10	130		3	8	4800					
[HuyÒn Kim] XÝch L©n Tr­êng Sinh Phï	0	4	1	\spr\item\equip\nick\obj-neck25.spr	36	2	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Vâ §ang Ch­ëng Ph¸p mãn thø 1"	3	99999	10	0																						36	120	39	8									957	958	857	858	977	978	1220	1221	1000	1001	1297	1298	263			204	1	1692	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Tr­êng Sinh Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap27.spr	28	2	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Vâ §ang Ch­ëng Ph¸p mãn thø 2"	4	99999	10	0	30	360	360	31	85	85																36	120	39	8									958	959	897	898	978	979	1180	1181	1337	1338	1297	1298	263			204	2	1756	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Tr­êng Sinh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring23.spr	37	1	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Vâ §ang Ch­ëng Ph¸p mãn thø 3"	0	99999	10	0																						36	120	39	8									957	958	877	878	977	978	1020	1021	1337	1338	1297	1298	263			204	3	130		3	8	4800					
[HuyÒn Kim] XÝch L©n Tr­êng Sinh Tô	0	8	1	\Spr\item\equip\bangle\obj-bangle27.spr	34	1	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Vâ §ang Ch­ëng Ph¸p mãn thø 4"	2	99999	10	0	30	135	135	31	80	80																36	120	39	8									958	959	917	918	978	979	1200	1201	1337	1338	1297	1298	263			204	4	1756	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Tr­êng Sinh Ph¸p §¸i	0	6	1	\spr\item\equip\sash\obj-sash27.spr	33	2	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Vâ §ang Ch­ëng Ph¸p mãn thø 5"	1	99999	10	0	30	160	160	31	80	80																36	120	39	8									958	959	937	938	977	978	1020	1021	1337	1338	1297	1298	263			204	5	1693	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Tr­êng Sinh §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth27.spr	24	2	3	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Vâ §ang Ch­ëng Ph¸p mãn thø 6"	3	99999	10	0	30	720	720	31	90	90																36	120	39	8									958	959	857	858	977	978	1220	1221	2724	2724	1297	1298	263			204	6	1756	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Tr­êng Sinh KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword25.spr	9	1	3	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Vâ §ang Ch­ëng Ph¸p mãn thø 7"	4	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	8									2719	2719	897	898	1160	1161	1180	1181	1337	1338	1297	1298	263			204	7	1756	130	3	8	4800					
[HuyÒn Kim] XÝch L©n Tr­êng Sinh Lý	0	5	0	\spr\item\equip\boots\obj-shoes27.spr	26	2	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Vâ §ang Ch­ëng Ph¸p mãn thø 8"	0	99999	10	0	30	160	160	31	80	80																36	120	39	8									958	959	877	878	977	978	1020	1021	1260	1261	1297	1298	263			204	8	1694	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n Tr­êng Sinh Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist26.spr	36	1	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Vâ §ang Ch­ëng Ph¸p mãn thø 9"	2	99999	10	0																						36	120	39	8									957	958	917	918	978	979	1200	1201	1337	1338	1297	1298	263			204	9	1756	1422	3	8	4800					
[HuyÒn Kim] XÝch L©n Tr­êng Sinh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring24.spr	37	1	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Vâ §ang Ch­ëng Ph¸p mãn thø 10"	1	99999	10	0																						36	120	39	8									957	958	937	938	978	979	1020	1021	1337	1338	1297	1298	263			204	10	130		3	8	4800					
[HuyÒn Kim] XÝch L©n NhÞ Cæ Phï	0	4	1	\spr\item\equip\nick\obj-neck25.spr	36	2	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Vâ §ang KiÕm Ph¸p mãn thø 1"	0	99999	10	0																						36	120	39	8									957	958	857	858	977	978	1220	1221	1000	1001	1297	1298	264			205	1	1696	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n NhÞ Cæ Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap27.spr	28	2	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Vâ §ang KiÕm Ph¸p mãn thø 2"	2	99999	10	0	30	360	360	31	85	85																36	120	39	8									958	959	897	898	978	979	1180	1181	1337	1338	1297	1298	264			205	2	1756	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n NhÞ Cæ Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring23.spr	37	1	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Vâ §ang KiÕm Ph¸p mãn thø 3"	1	99999	10	0																						36	120	39	8									957	958	877	878	977	978	1020	1021	1337	1338	1297	1298	264			205	3	130		3	8	4800					
[HuyÒn Kim] XÝch L©n NhÞ Cæ Tô	0	8	1	\Spr\item\equip\bangle\obj-bangle27.spr	34	1	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Vâ §ang KiÕm Ph¸p mãn thø 4"	3	99999	10	0	30	135	135	31	80	80																36	120	39	8									958	959	917	918	978	979	1200	1201	1337	1338	1297	1298	264			205	4	1756	1423	3	8	4800					
[HuyÒn Kim] XÝch L©n NhÞ Cæ Ph¸p §¸i	0	6	0	\spr\item\equip\sash\obj-sash27.spr	32	2	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Vâ §ang KiÕm Ph¸p mãn thø 5"	4	99999	10	0	30	160	160	31	80	80																36	120	39	8									958	959	937	938	977	978	1020	1021	1337	1338	1297	1298	264			205	5	1697	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n NhÞ Cæ §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth27.spr	24	2	3	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Vâ §ang KiÕm Ph¸p mãn thø 6"	0	99999	10	0	30	720	720	31	90	90																36	120	39	8									958	959	857	858	977	978	1220	1221	2724	2724	1297	1298	264			205	6	1756	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n NhÞ Cæ KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword25.spr	9	1	3	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Vâ §ang KiÕm Ph¸p mãn thø 7"	2	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	8									2715	2715	897	898	1080	1081	1180	1181	1322	1323	1297	1298	264			205	7	1756	130	3	8	4800					
[HuyÒn Kim] XÝch L©n NhÞ Cæ Lý	0	5	0	\spr\item\equip\boots\obj-shoes27.spr	26	2	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Vâ §ang KiÕm Ph¸p mãn thø 8"	1	99999	10	0	30	160	160	31	80	80																36	120	39	8									958	959	877	878	977	978	1020	1021	1260	1261	1297	1298	264			205	8	1756	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n NhÞ Cæ Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist26.spr	36	1	2	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Vâ §ang KiÕm Ph¸p mãn thø 9"	3	99999	10	0																						36	120	39	8									957	958	917	918	978	979	1200	1201	1337	1338	1297	1298	264			205	9	1698	1277	3	8	4800					
[HuyÒn Kim] XÝch L©n NhÞ Cæ H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring24.spr	37	1	1	"Trang bÞ HuyÒn Kim, XÝch L©n bé trang bÞ Vâ §ang KiÕm Ph¸p mãn thø 10"	4	99999	10	0																						36	120	39	8									957	958	937	938	978	979	1020	1021	1337	1338	1297	1298	264			205	10	130		3	8	4800					
