Name	Prop quality	Item ID	Type of props	specific category	Detail	Platinum level	Level	Magic attribute ID1	Param1	Magic 1 starting value 1	Magic 1 end value 1	Magic 1 is worth 1	Magic 1 starting value 2	Magic 1 end value 2	Magic 1 is worth 2	Magic 1 starting value 3	Magic 1 end value 3	Magic 1 is worth 3	Magic 1 starting value 4	Magic 1 end value 4	Magic 1 is worth 4	Magic 1 starting value 5	Magic 1 end value 5	Magic 1 is worth 5	Magic attribute ID2	Param2	Magic 2 starting value 1	Magic 2 end value 1	Magic 2 is worth 1	Magic 2 starting value 2	Magic 2 end value 2	Magic 2 is worth 2	Magic 2 starting value 3	Magic 2 end value 3	Magic 2 is worth 3	Magic 2 starting value 4	Magic 2 end value 4	Magic 2 is worth 4	Magic 2 starting value 5	Magic 2 end value 5	Magic 2 is worth 5	Magic attribute ID3	Param3	Magic 3 starting value 1	Magic 3 end value 1	Magic 3 is worth 1	Magic 3 starting value 2	Magic 3 end value 2	Magic 3 is worth 2	Magic 3 starting value 3	Magic 3 end value 3	Magic 3 is worth 3	Magic 3 starting value 4	Magic 3 end value 4	Magic 3 is worth 4	Magic 3 starting value 5	Magic 3 end value 5	Magic 3 is worth 5	Magic attribute ID4	Param4	Magic 4 starting value 1	Magic 4 end value 1	Magic 4 is worth 1	Magic 4 starting value 2	Magic 4 end value 2	Magic 4 is worth 2	Magic 4 starting value 3	Magic 43 end value 3	Magic 4 is worth 3	Magic 4 starting value 4	Magic 4 end value 4	Magic 4 is worth 4	Magic 4 starting value 5	Magic 4 end value 5	Magic 4 is worth 5	Tinh hån th¹ch	Tµi phó
???	0	-1	0	1	0	-1	8	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
??	0	-1	0	1	0	-1	9	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	1	0	-1	10	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
??	0	-1	0	1	1	-1	1	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	1	1	-1	2	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	1	1	-1	3	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	1	1	-1	4	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	1	1	-1	5	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	1	1	-1	6	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	1	1	-1	7	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	1	1	-1	8	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	1	1	-1	9	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	1	1	-1	10	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
??	0	-1	0	1	2	-1	1	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	1	2	-1	2	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
????	0	-1	0	1	2	-1	3	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	1	2	-1	4	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	1	2	-1	5	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
????	0	-1	0	1	2	-1	6	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	1	2	-1	7	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
?????	0	-1	0	1	2	-1	8	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	1	2	-1	9	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	1	2	-1	10	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	0	-1	1	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
??	0	-1	0	0	0	-1	2	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	0	-1	3	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	0	-1	4	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	0	-1	5	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	0	-1	6	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
??	0	-1	0	0	0	-1	7	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	0	-1	8	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	0	-1	9	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	0	-1	10	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
??	0	-1	0	0	1	-1	1	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
??	0	-1	0	0	1	-1	2	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	1	-1	3	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	1	-1	4	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	1	-1	5	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	1	-1	6	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
????	0	-1	0	0	1	-1	7	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	1	-1	8	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	1	-1	9	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	1	-1	10	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	2	-1	1	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	2	-1	2	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	2	-1	3	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	2	-1	4	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
??	0	-1	0	0	2	-1	5	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
??	0	-1	0	0	2	-1	6	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	2	-1	7	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	2	-1	8	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	2	-1	9	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	2	-1	10	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
??	0	-1	0	0	3	-1	1	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
??	0	-1	0	0	3	-1	2	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	3	-1	3	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	3	-1	4	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	3	-1	5	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
???	0	-1	0	0	3	-1	6	139	0	1	1	5000000	2	2	24000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	172	-1	100	150	500000	151	200	2000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9.8	9.8
