[Normal]Item: Anh Hµo B¸ KhÝ TrÊn S¬n ChØ Hoµn(0,1,8735,0,2,10), unbind = 0, bind = 60000
[Normal]Item: §Þch Kh¸i Th¶o Gian Th¹ch giíi(0,1,99,0,1,10), unbind = 0, bind = 50
[Normal]Item: §Þch Kh¸i B¶o Ngäc Th©n Phï(0,1,611,1,0,10), unbind = 0, bind = 50
[Normal]Item: §Þch Kh¸i Thiªn TÇm Ngoa(0,1,612,0,1,10), unbind = 0, bind = 50
[Normal]Item: §Þch Kh¸i B¹ch Ngäc Ph¸t Qu¸n(0,1,613,3,2,10), unbind = 0, bind = 50
[Normal]Item: §Þch Kh¸i Thiªn Long Ngäc Béi(0,1,614,1,3,10), unbind = 0, bind = 50
[Normal]Item: §Þch Kh¸i B¶o Ngäc Giíi ChØ(0,1,615,0,4,10), unbind = 0, bind = 50
[Normal]Item: [H¹n chÕ thêi gian] §ång Cõu Ngù Long Ngäc Béi(0,1,854,1,0,10), unbind = 0, bind = 50
[Normal]Item: Ma ThÞ LiÖt DiÖm Qu¸n MiÖn(0,1,110,2,3,10), unbind = 0, bind = 50
[Normal]Item: Ma ThÞ LÖ Ma PhÖ T©m Liªn(0,1,111,0,2,10), unbind = 0, bind = 50
[Normal]Item: Ma ThÞ NghiÖp Háa U Minh Giíi(0,1,112,0,2,10), unbind = 0, bind = 50
[Normal]Item: Ma ThÞ HuyÕt Ngäc ThÊt S¸t Béi(0,1,113,1,0,10), unbind = 0, bind = 50
[Normal]Item: Ma ThÞ s¬n  H¶i Phi Hång Lý (0,1,114,0,4,10), unbind = 0, bind = 50
[Normal]Item: Ma S¸t Quû Cèc U Minh Th­¬ng(0,1,100,3,2,10), unbind = 0, bind = 50
[Normal]Item: Ma S¸t Tµn D­¬ng ¶nh HuyÕt Gi¸p(0,1,101,16,0,10), unbind = 0, bind = 50
[Normal]Item: Ma S¸t XÝch Ký Táa Yªu KhÊu(0,1,102,1,4,10), unbind = 0, bind = 50
[Normal]Item: Ma S¸t Cö Háa Liªu Thiªn uyÓn(0,1,103,3,2,10), unbind = 0, bind = 50
[Normal]Item: Ma S¸t V©n Long Thæ Ch©u giíi(0,1,104,0,1,10), unbind = 0, bind = 50
[Normal]Item: Ma S¸t B¶o Th¹ch Th©n Phï(0,1,616,1,0,10), unbind = 0, bind = 50
[Normal]Item: Ma S¸t Phi Hång LÝ(0,1,617,0,1,10), unbind = 0, bind = 50
[Normal]Item: Ma S¸t Tinh Th¹ch Ngäc béi(0,1,618,1,3,10), unbind = 0, bind = 50
[Normal]Item: Ma S¸t Thiªn Niªn Hé UyÓn(0,1,619,1,3,10), unbind = 0, bind = 50
[Normal]Item: Ma S¸t TrÊn Bang Giíi ChØ(0,1,620,0,4,10), unbind = 0, bind = 50
[Normal]Item: Ma Hoµng Kim Gi¸p Kh«i(0,1,105,2,0,10), unbind = 0, bind = 50
[Normal]Item: Ma Hoµng ¸n XuÊt Hæ H¹ng Khuyªn(0,1,106,1,4,10), unbind = 0, bind = 50
[Normal]Item: Ma Hoµng Khª Cèc Thóc yªu ®¸i(0,1,107,1,3,10), unbind = 0, bind = 50
[Normal]Item: Ma Hoµng HuyÕt Y Thó Tr¹c(0,1,108,1,1,10), unbind = 0, bind = 50
[Normal]Item: Ma Hoµng §¨ng §¹p Ngoa(0,1,109,0,4,10), unbind = 0, bind = 50
[Normal]Item: Ma ThÞ LÖ Hé Th©n Phï(0,1,621,1,1,10), unbind = 0, bind = 50
[Normal]Item: Ma ThÞ TrÊn Ph¸i B¶o §ao(0,1,622,1,3,10), unbind = 0, bind = 50
[Normal]Item: Ma ThÞ B¶o ThiÕt Gi¸p(0,1,623,16,1,10), unbind = 0, bind = 50
[Normal]Item: Ma ThÞ Lang PhiÕn Hé UyÓn(0,1,624,1,0,10), unbind = 0, bind = 50
[Normal]Item: Ma ThÞ Tinh Th¹ch ChØ hoµn(0,1,625,0,4,10), unbind = 0, bind = 50
[Normal]Item: [H¹n chÕ thêi gian] Ma S¸t Cö Háa Liªu Thiªn Hoµn(0,1,867,3,2,10), unbind = 0, bind = 50
[Normal]Item: [H¹n chÕ thêi gian] Ma Hoµng Dung Kim §o¹n NhËt Giíi(0,1,873,0,4,10), unbind = 0, bind = 50
[Normal]Item: [H¹n chÕ thêi gian] Ma ThÞ LÖ Ma PhÖ T©m §¸i(0,1,875,0,2,10), unbind = 0, bind = 50
[Normal]Item: [H¹n chÕ thêi gian] Ma S¸t Cö Háa Liªu Thiªn Hoµn(0,1,867,3,2,10), unbind = 0, bind = 50
[Normal]Item: [H¹n chÕ thêi gian] Ma Hoµng Dung Kim §o¹n NhËt Giíi(0,1,873,0,4,10), unbind = 0, bind = 50
[Normal]Item: [H¹n chÕ thêi gian] Ma ThÞ LÖ Ma PhÖ T©m §¸i(0,1,875,0,2,10), unbind = 0, bind = 50
[Normal]Item: [H¹n chÕ thêi gian] Ma S¸t Cö Háa Liªu Thiªn Hoµn(0,1,867,3,2,10), unbind = 0, bind = 50
[Normal]Item: [H¹n chÕ thêi gian] Ma Hoµng Dung Kim §o¹n NhËt Giíi(0,1,873,0,4,10), unbind = 0, bind = 50
[Normal]Item: [H¹n chÕ thêi gian] Ma ThÞ LÖ Ma PhÖ T©m §¸i(0,1,875,0,2,10), unbind = 0, bind = 50
[Normal]Item: CËp Phong Ch©n Vò KiÕm(0,1,120,0,2,10), unbind = 0, bind = 50
[Normal]Item: CËp Phong Tam Thanh Phï (0,1,121,1,0,10), unbind = 0, bind = 50
[Normal]Item: CËp Phong HuyÒn Ti Tam §o¹n cÈm(0,1,122,0,4,10), unbind = 0, bind = 50
[Normal]Item: CËp Phong Thóy Ngäc HuyÒn Hoµng Béi(0,1,123,1,3,10), unbind = 0, bind = 50
[Normal]Item: CËp Phong Thanh Tïng Ph¸p giíi(0,1,124,0,1,10), unbind = 0, bind = 50
[Normal]Item: CËp phong V¹n LÝ TÇm Ngoa(0,1,631,0,1,10), unbind = 0, bind = 50
[Normal]Item: CËp Phong Kim ¤ Ph¸t Qu¸n(0,1,632,1,2,10), unbind = 0, bind = 50
[Normal]Item: CËp Phong TrÊn B¶o §¹o Bµo(0,1,633,3,0,8), unbind = 0, bind = 50
[Normal]Item: CËp Phong B¶o Th¹ch Ngäc Béi(0,1,634,1,3,10), unbind = 0, bind = 50
[Normal]Item: CËp Phong NhÊt KhÝ ChØ Hoµn(0,1,635,0,4,10), unbind = 0, bind = 50
[Normal]Item: L¨ng Nh¹c Th¸i Cùc KiÕm(0,1,115,0,4,10), unbind = 0, bind = 50
[Normal]Item: L¨ng Nh¹c V« Ng· ®¹o bµo(0,1,116,1,1,10), unbind = 0, bind = 50
[Normal]Item: L¨ng Nh¹c Né L«i Giíi(0,1,117,0,1,10), unbind = 0, bind = 50
[Normal]Item: L¨ng Nh¹c V« Cùc HuyÒn Ngäc Béi(0,1,118,1,2,10), unbind = 0, bind = 50
[Normal]Item: L¨ng Nh¹c Thiªn §Þa HuyÒn Hoµng giíi(0,1,119,0,0,10), unbind = 0, bind = 50
[Normal]Item: L¨ng Nh¹c B¶o Th¹ch H¹ng Khuyªn(0,1,626,1,3,10), unbind = 0, bind = 50
[Normal]Item: L¨ng Nh¹c Thiªn LÝ TÇm Ngoa(0,1,627,0,0,10), unbind = 0, bind = 50
[Normal]Item: L¨ng Nh¹c ¤ Sa Ph¸t Qu¸n(0,1,628,1,4,10), unbind = 0, bind = 50
[Normal]Item: L¨ng Nh¹c TrÊn B¶o §¹o Bµo(0,1,629,3,3,8), unbind = 0, bind = 50
[Normal]Item: L¨ng Nh¹c Vò Thiªn Hé UyÓn(0,1,630,1,2,10), unbind = 0, bind = 50
[Normal]Item: [H¹n chÕ thêi gian] L¨ng Nh¹c V« Ng· Thóc §¸i(0,1,880,1,1,10), unbind = 0, bind = 50
[Normal]Item: [H¹n chÕ thêi gian] CËp Phong Thóy Ngäc HuyÒn Hoµng UyÓn(0,1,887,1,3,10), unbind = 0, bind = 50
[Normal]Item: Vô ¶o B¾c Minh §¹o qu¸n(0,1,135,1,0,10), unbind = 0, bind = 50
[Normal]Item: Vô ¶o Ki B¸n phï chó (0,1,136,1,0,10), unbind = 0, bind = 50
[Normal]Item: Vô ¶o Thóc T©m chØ hoµn(0,1,137,0,3,10), unbind = 0, bind = 50
[Normal]Item: Vô ¶o Thanh ¶nh HuyÒn Ngäc Béi(0,1,138,1,1,10), unbind = 0, bind = 50
[Normal]Item: Vô ¶o Tung Phong TuyÕt ¶nh ngoa(0,1,139,0,2,10), unbind = 0, bind = 50
[Normal]Item: S­¬ng Tinh Thiªn Niªn Hµn ThiÕt(0,1,125,1,2,10), unbind = 0, bind = 50
[Normal]Item: S­¬ng Tinh Ng¹o S­¬ng ®¹o bµo(0,1,126,1,3,10), unbind = 0, bind = 50
[Normal]Item: S­¬ng Tinh Thanh Phong Lò ®¸i(0,1,127,0,4,10), unbind = 0, bind = 50
[Normal]Item: S­¬ng Tinh Thiªn Tinh B¨ng Tinh thñ (0,1,128,1,3,10), unbind = 0, bind = 50
[Normal]Item: S­¬ng Tinh Phong B¹o chØ hoµn(0,1,129,0,1,10), unbind = 0, bind = 50
[Normal]Item: S­¬ng Tinh Ng¹o ThÕ Hé Th©n Phï(0,1,636,1,0,10), unbind = 0, bind = 50
[Normal]Item: S­¬ng Tinh V¹n LÝ TÇm Ngoa(0,1,637,0,1,10), unbind = 0, bind = 50
[Normal]Item: S­¬ng Tinh Tö Kim Ph¸t Qu¸n(0,1,638,1,2,10), unbind = 0, bind = 50
[Normal]Item: S­¬ng Tinh TrÊn B¶o §¹o Bµo(0,1,639,3,0,8), unbind = 0, bind = 50
[Normal]Item: S­¬ng Tinh Hµn ThiÕt ChØ Hoµn(0,1,640,0,4,10), unbind = 0, bind = 50
[Normal]Item: L«i Khung Hµn Tung B¨ng B¹ch quan(0,1,130,1,4,10), unbind = 0, bind = 50
[Normal]Item: L«i Khung Thiªn §Þa Hé phï (0,1,131,1,3,10), unbind = 0, bind = 50
[Normal]Item: L«i Khung Phong L«i Thanh CÈm ®¸i(0,1,132,0,1,10), unbind = 0, bind = 50
[Normal]Item: L«i Khung Linh Ngäc UÈn L«i(0,1,133,1,2,10), unbind = 0, bind = 50
[Normal]Item: L«i Khung Cöu Thiªn DÉn L«i giíi(0,1,134,0,0,10), unbind = 0, bind = 50
[Normal]Item: L«i Khung Linh KhÝ TÇm Ngoa(0,1,641,0,0,10), unbind = 0, bind = 50
[Normal]Item: L«i Khung TrÊn Long B¶o KiÕm(0,1,642,0,4,10), unbind = 0, bind = 50
[Normal]Item: L«i Khung Thiªn Niªn §¹o Bµo(0,1,643,3,3,8), unbind = 0, bind = 50
[Normal]Item: L«i Khung B¶o Th¹ch Ngäc Béi(0,1,644,1,2,10), unbind = 0, bind = 50
[Normal]Item: L«i Khung §Þnh Quèc ChØ Hoµn(0,1,645,0,1,10), unbind = 0, bind = 50
[Normal]Item: [H¹n chÕ thêi gian] S­¬ng Tinh L­u Tinh C¶n NguyÖt KhÊu(0,1,890,1,3,10), unbind = 0, bind = 50
[Normal]Item: [H¹n chÕ thêi gian] L«i Khung Linh Ngäc Èn L«i UyÓn(0,1,897,1,2,10), unbind = 0, bind = 50
[Normal]Item: [H¹n chÕ thêi gian] Vô Hoan Th¸i Uyªn Ch©n Vò Liªn(0,1,900,1,0,10), unbind = 0, bind = 50
[Normal]Item: L«i Khung Linh KhÝ TÇm Ngoa(0,1,641,0,0,10), unbind = 0, bind = 50
[Normal]Item: L«i Khung TrÊn Long B¶o KiÕm(0,1,642,0,4,10), unbind = 0, bind = 50
[Normal]Item: L«i Khung Thiªn Niªn §¹o Bµo(0,1,643,3,3,8), unbind = 0, bind = 50
[Normal]Item: L«i Khung B¶o Th¹ch Ngäc Béi(0,1,644,1,2,10), unbind = 0, bind = 50
[Normal]Item: L«i Khung §Þnh Quèc ChØ Hoµn(0,1,645,0,1,10), unbind = 0, bind = 50
[Normal]Item: [H¹n chÕ thêi gian] S­¬ng Tinh L­u Tinh C¶n NguyÖt KhÊu(0,1,890,1,3,10), unbind = 0, bind = 50
[Normal]Item: [H¹n chÕ thêi gian] L«i Khung Linh Ngäc Èn L«i UyÓn(0,1,897,1,2,10), unbind = 0, bind = 50
[Normal]Item: [H¹n chÕ thêi gian] Vô Hoan Th¸i Uyªn Ch©n Vò Liªn(0,1,900,1,0,10), unbind = 0, bind = 50
