Status	file name	type	Play method	Start frame behind the protagonist	Ending frame behind the protagonist	Total animation frames	Total number of animation directions	animation frame interval	The picture is divided into several parts	"Note: The picture can only be divided into 1, 2, and 3 petals."
Status206	\spr\skill\songjin\weimengwushuang.spr	Body	Loop	0	0	15	1	111	1	Ô½ÄÏËÎ½ğÕ½³¡»ı·ÖÅÅÃûµÚ¶şÃû¡°ÍşÃÍÎŞË«¡±
Status207	\spr\skill\songjin\liyaqunxiong.spr	Body	Loop	0	0	15	1	111	1	Ô½ÄÏËÎ½ğÕ½³¡»ı·ÖÅÅÃûµÚÈıÃû¡°Á¦Ñ¹ÈºĞÛ¡±
Status208	\spr\skill\songjin\zhanchangyinghao.spr	Foot	Loop	0	0	15	1	111	1	Ô½ÄÏËÎ½ğÕ½³¡»ı·ÖÅÅÃûµÚËÄÃû¡°ËÄ¾øÕ½³¡¡±
Status209	\spr\skill\songjin\zhanchangyinghao.spr	Foot	Loop	0	0	15	1	111	1	Ô½ÄÏËÎ½ğÕ½³¡»ı·ÖÅÅÃûµÚÎåÃû¡°ËÄ¾øÕ½³¡¡±
Status210	\spr\skill\songjin\zhanchangyinghao.spr	Foot	Loop	0	0	15	1	111	1	Ô½ÄÏËÎ½ğÕ½³¡»ı·ÖÅÅÃûµÚÁùÃû¡°ËÄ¾øÕ½³¡¡±
Status211	\spr\skill\songjin\zhanchangyinghao.spr	Foot	Loop	0	0	15	1	111	1	Ô½ÄÏËÎ½ğÕ½³¡»ı·ÖÅÅÃûµÚÆßÃû¡°ËÄ¾øÕ½³¡¡±
Status212	\spr\skill\songjin\zhanchangyinghao.spr	Foot	Loop	0	0	15	1	111	1	Ô½ÄÏËÎ½ğÕ½³¡»ı·ÖÅÅÃûµÚ°ËÃû¡°ËÄ¾øÕ½³¡¡±
Status213	\spr\skill\songjin\zhanchangyinghao.spr	Foot	Loop	0	0	15	1	111	1	Ô½ÄÏËÎ½ğÕ½³¡»ı·ÖÅÅÃûµÚ¾ÅÃû¡°ËÄ¾øÕ½³¡¡±
Status214	\spr\skill\songjin\zhanchangyinghao.spr	Foot	Loop	0	0	15	1	111	1	Ô½ÄÏËÎ½ğÕ½³¡»ı·ÖÅÅÃûµÚÊ®Ãû¡°ËÄ¾øÕ½³¡¡±
Status215	spr\skill\others\?ôÖ®ê ¹â»·	Head	Loop	0	0	30	1	30	1	?ôÖ®ê ¹â»·
Status216	\spr\skill\others\title_new_yl.spr	Foot	Loop	0	0	11	1	18	1	ËÎ½ğ»ı·ÖÅÅÃûµÚËÄ-Ê®Ãû
Status217	\spr\skill\others\title_new_bj.spr	Foot	Loop	0	0	20	1	23	1	ËÎ½ğ»ı·ÖÅÅÃûµÚÈı
Status218	\spr\skill\others\title_new_ab.spr	Foot	Loop	0	0	15	1	30	1	ËÎ½ğ»ı·ÖÅÅÃûµÚ¶ş
Status219	\spr\skill\others\title_new_dg.spr	Foot	Loop	0	0	15	1	15	1	ËÎ½ğ»ı·ÖÅÅÃûµÚÒ»
Status220	\spr\skill\others\jueshigaoshouvn.spr	Head	Loop	0	0	20	1	80	1	CTC³õ¼¶»áÔ±¿¨³ÆºÅÌØĞ§
Status221	\spr\skill\others\title_new_yl.spr	Foot	Loop	0	0	11	1	50	1	ÑªÔ¡£¨Ô½ÄÏ£©
Status222	\spr\skill\others\jingyingsaijijun_old.spr	Foot	Loop	0	0	15	1	35	1	Õ½Ìì£¨Ô½ÄÏ£©
Status223	\spr\skill\others\jingyingsaiguanjun_old.spr	Foot	Loop	0	0	15	1	40	1	²Ôºè£¨Ô½ÄÏ£©
Status224	\spr\skill\others\jingyingsaijijun.spr	Foot	Loop	0	0	15	1	35	1	ÀÇê»£¨Ô½ÄÏ£©
Status225	\spr\skill\others\jingyingsaiguanjun.spr	Foot	Loop	0	0	15	1	35	1	Õ×ÃÍ£¨Ô½ÄÏ£©
Status226	\spr\skill\ºÚÉñ×°\´«Ææ¹â»·.spr	Body	Loop	0	0	30	1	48	1	´«Ææ¹â»·£¨Ô½ÄÏ£©
Status227	\spr\skill\tr\xianzhongqiusheng.spr	Head	Loop	0	0	18	1	18	1	ÏÕÖĞÇóÊ¤
Status228	\spr\skill\tr\zhuizongshu.spr	Head	Loop	0	0	18	1	18	1	×·×ÙÊõ
Status229	\spr\skill\others\sjzh_jin.spr	Head	Loop	0	0	10	1	18	1	½ğbuff
Status230	\spr\skill\others\sjzh_mu.spr	Head	Loop	0	0	10	1	18	1	Ä¾buff
Status231	\spr\skill\others\sjzh_shui.spr	Head	Loop	0	0	10	1	18	1	Ë®buff
Status232	\spr\skill\others\sjzh_huo.spr	Head	Loop	0	0	10	1	18	1	»ğbuff
Status233	\spr\skill\others\sjzh_tu.spr	Head	Loop	0	0	10	1	18	1	ÍÁbuff
Status234	\spr\skill\wuhuntang\ÎäÄÂÒÅÖ¾ĞéÓ°³öÏÖ.spr	Body	Loop	0	0	280	8	36	1	ÎäÄÂÒÅÖ¾ĞéÓ°
Status235	\spr\skill\wuhuntang\¾«ÖÒ±¨¹ú.spr	Body	Loop	0	0	96	8	6	1	¾«ÖÒ±¨¹ú
Status236	\spr\skill\wuhuntang\²ù¼é³ıØúdebuff.spr	Body	Loop	0	0	20	1	1	1	²ù¼é³ıØúDebuff
Status237	\spr\skill\wuhuntang\ÖÒÎäÁ÷·ç.spr	Foot	Loop	0	0	20	1	20	1	ÖÒÎäÁ÷·ç
Status238	\spr\skill\wuhuntang\µôÑªBUFF.spr	Body	Loop	0	0	12	1	12	1	º³É½»÷µôÑªbuff
Status239	\spr\skill\wuhuntang\¼õËÙ×´Ì¬.spr	Head	Loop	0	0	12	1	33	1	¼õ¹¥»÷Debuff
Status240	\spr\skill\wuhuntang\¼õËÙ×´Ì¬.spr	Head	Loop	0	0	12	1	33	1	¼õ¹¥ËÙDebuff
Status241	\spr\skill\zhongqiu\zq_sl_001.spr	Head	Loop	0	0	10	1	20	1	Ã·»¨ÈıÅªDeBuff¡ª¡ª»Ğã±
Status242	\spr\effect\other\weizhenjiuzhou_vn.spr	Head	Loop	0	0	20	1	20	1	Uy ChÊn Cöu Ch©u
Status243	\spr\effect\other\wulinzhizun_vn.spr	Head	Loop	0	0	20	1	20	1	Vâ L©m Chİ T«n
Status244	\spr\effect\other\yijianfengtian_vn.spr	Head	Loop	0	0	20	1	20	1	NhÊt KiÕm Phong Thiªn
Status245	\spr\effect\other\yiliugaoshou_vn.spr	Head	Loop	0	0	20	1	20	1	NhÊt L­u Cao Thñ
Status246	\spr\effect\other\zuihoudaxia_vn.spr	Head	Loop	0	0	20	1	20	1	HiÖp Kh¸ch Cuèi Cïng Trªn Giang Hå
Status247	\spr\skill\others\phongvan.spr	Head	Head	0	0	14	1	14	1	Phong V©n
Status248	\spr\skill\others\daithanh.spr	Head	Head	0	0	14	1	14	1	§¹i Th¸nh
Status249	\spr\skill\others\tranthien.spr	Head	Head	0	0	25	1	25	1	TrÊn Thiªn
Status250	\spr\skill\others\sieuthan.spr	Head	Head	0	0	14	1	14	1	Siªu ThÇn
Status251	\spr\skill\others\åÈÀ¶Ä¦Úµ-¹â»·.spr	Foot	Loop	0	0	30	1	30	1	Julian-V
Status252	\spr\skill\others\²ÔÑ×ÆßÊ¥¡ª¹â»·.spr	Foot	Loop	0	0	30	1	30	1	Vò Trô Hång Hoang
Status253	\spr\skill\others\dubutianxia.spr	Foot	Loop	0	0	15	1	15	1	§éc Bé Thiªn H¹
Status254	\spr\skill\others\huangdi.spr	Body	Loop	0	0	10	1	10	1	Hoµng §Õ
Status255	\spr\skill\others\jianghugaoshou.spr	Foot	Loop	0	0	15	1	15	1	Cao Thñ Giang Hå
Status256	\spr\skill\others\jianxiazhizun.spr	Foot	Loop	0	0	15	1	15	1	Thiªn H¹ §Ö NhÊt
