Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ğ	ÏêÏ¸Àà±ğ	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	»ù´¡ÊôĞÔ1ÀàĞÍ	»ù´¡ÊôĞÔ1×îĞ¡Öµ	»ù´¡ÊôĞÔ1×î´óÖµ	»ù´¡ÊôĞÔ2ÀàĞÍ	»ù´¡ÊôĞÔ2×îĞ¡Öµ	»ù´¡ÊôĞÔ2×î´óÖµ	»ù´¡ÊôĞÔ3ÀàĞÍ	»ù´¡ÊôĞÔ3×îĞ¡Öµ	»ù´¡ÊôĞÔ3×î´óÖµ	»ù´¡ÊôĞÔ4ÀàĞÍ	»ù´¡ÊôĞÔ4×îĞ¡Öµ	»ù´¡ÊôĞÔ4×î´óÖµ	»ù´¡ÊôĞÔ5ÀàĞÍ	»ù´¡ÊôĞÔ5×îĞ¡Öµ	»ù´¡ÊôĞÔ5×î´óÖµ	»ù´¡ÊôĞÔ6ÀàĞÍ	»ù´¡ÊôĞÔ6×îĞ¡Öµ	»ù´¡ÊôĞÔ6×î´óÖµ	»ù´¡ÊôĞÔ7ÀàĞÍ	»ù´¡ÊôĞÔ7×îĞ¡Öµ	»ù´¡ÊôĞÔ7×î´óÖµ	ĞèÇóÊôĞÔ1ÀàĞÍ	ĞèÇóÊôĞÔ1ÊıÖµ	ĞèÇóÊôĞÔ2ÀàĞÍ	ĞèÇóÊôĞÔ2ÊıÖµ	ĞèÇóÊôĞÔ3ÀàĞÍ	ĞèÇóÊôĞÔ3ÊıÖµ	ĞèÇóÊôĞÔ4ÀàĞÍ	ĞèÇóÊôĞÔ4ÊıÖµ	ĞèÇóÊôĞÔ5ÀàĞÍ	ĞèÇóÊôĞÔ5ÊıÖµ	ĞèÇóÊôĞÔ6ÀàĞÍ	ĞèÇóÊôĞÔ6ÊıÖµ
Lam L©n ThÇn Léc	0	10	33	\spr\item\equip\horse\horse043.spr	40	2	3	"ThÇn Léc toµn th©n mµu tr¾ng tuyÕt pha lÉn mµu xanh, v¹n ı c¸c t­êng"	0	5000	9	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Lam L©n ThÇn Léc	0	10	33	\spr\item\equip\horse\horse043.spr	40	2	3	"ThÇn Léc toµn th©n mµu tr¾ng tuyÕt pha lÉn mµu xanh, v¹n ı c¸c t­êng"	0	5000	10	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Kinh L«i	0	10	34	\spr\item\equip\horse\horse033.spr	40	2	3	Kinh L«i mét trong nh÷ng thÇn m· ®i m©y vÒ giã	5	500000	1	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Kinh L«i	0	10	34	\spr\item\equip\horse\horse033.spr	40	2	3	Kinh L«i mét trong nh÷ng thÇn m· ®i m©y vÒ giã	5	500000	2	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Kinh L«i	0	10	34	\spr\item\equip\horse\horse033.spr	40	2	3	Kinh L«i mét trong nh÷ng thÇn m· ®i m©y vÒ giã	5	500000	3	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Kinh L«i	0	10	34	\spr\item\equip\horse\horse033.spr	40	2	3	Kinh L«i mét trong nh÷ng thÇn m· ®i m©y vÒ giã	5	500000	4	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Kinh L«i	0	10	34	\spr\item\equip\horse\horse033.spr	40	2	3	Kinh L«i mét trong nh÷ng thÇn m· ®i m©y vÒ giã	5	500000	5	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Kinh L«i	0	10	34	\spr\item\equip\horse\horse033.spr	40	2	3	Kinh L«i mét trong nh÷ng thÇn m· ®i m©y vÒ giã	5	500000	6	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Kinh L«i	0	10	34	\spr\item\equip\horse\horse033.spr	40	2	3	Kinh L«i mét trong nh÷ng thÇn m· ®i m©y vÒ giã	5	500000	7	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Kinh L«i	0	10	34	\spr\item\equip\horse\horse033.spr	40	2	3	Kinh L«i mét trong nh÷ng thÇn m· ®i m©y vÒ giã	5	500000	8	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Kinh L«i	0	10	34	\spr\item\equip\horse\horse033.spr	40	2	3	Kinh L«i mét trong nh÷ng thÇn m· ®i m©y vÒ giã	5	500000	9	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Kinh L«i	0	10	34	\spr\item\equip\horse\horse033.spr	40	2	3	Kinh L«i mét trong nh÷ng thÇn m· ®i m©y vÒ giã	5	500000	10	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Lõa Hång	0	10	35	\spr\item\equip\horse\horse044.spr	40	2	3	Lõa Hång §eo N¬	5	500000	1	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
Lõa Hång	0	10	35	\spr\item\equip\horse\horse044.spr	40	2	3	Lõa Hång §eo N¬	5	500000	2	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
Lõa Hång	0	10	35	\spr\item\equip\horse\horse044.spr	40	2	3	Lõa Hång §eo N¬	5	500000	3	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
Lõa Hång	0	10	35	\spr\item\equip\horse\horse044.spr	40	2	3	Lõa Hång §eo N¬	5	500000	4	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
Lõa Hång	0	10	35	\spr\item\equip\horse\horse044.spr	40	2	3	Lõa Hång §eo N¬	5	500000	5	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
Lõa Hång	0	10	35	\spr\item\equip\horse\horse044.spr	40	2	3	Lõa Hång §eo N¬	5	500000	6	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
Lõa Hång	0	10	35	\spr\item\equip\horse\horse044.spr	40	2	3	Lõa Hång §eo N¬	5	500000	7	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
Lõa Hång	0	10	35	\spr\item\equip\horse\horse044.spr	40	2	3	Lõa Hång §eo N¬	5	500000	8	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
Lõa Hång	0	10	35	\spr\item\equip\horse\horse044.spr	40	2	3	Lõa Hång §eo N¬	5	500000	9	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
Lõa Hång	0	10	35	\spr\item\equip\horse\horse044.spr	40	2	3	Lõa Hång §eo N¬	5	500000	10	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
TuyÕt vùc ChiÕn Lang	0	10	36	\spr\item\equip\horse\horse046.spr	40	2	3	TuyÕt vùc ChiÕn Lang	5	500000	1	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
TuyÕt vùc ChiÕn Lang	0	10	36	\spr\item\equip\horse\horse046.spr	40	2	3	TuyÕt vùc ChiÕn Lang	5	500000	2	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
TuyÕt vùc ChiÕn Lang	0	10	36	\spr\item\equip\horse\horse046.spr	40	2	3	TuyÕt vùc ChiÕn Lang	5	500000	3	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
TuyÕt vùc ChiÕn Lang	0	10	36	\spr\item\equip\horse\horse046.spr	40	2	3	TuyÕt vùc ChiÕn Lang	5	500000	4	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
TuyÕt vùc ChiÕn Lang	0	10	36	\spr\item\equip\horse\horse046.spr	40	2	3	TuyÕt vùc ChiÕn Lang	5	500000	5	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
TuyÕt vùc ChiÕn Lang	0	10	36	\spr\item\equip\horse\horse046.spr	40	2	3	TuyÕt vùc ChiÕn Lang	5	500000	6	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
TuyÕt vùc ChiÕn Lang	0	10	36	\spr\item\equip\horse\horse046.spr	40	2	3	TuyÕt vùc ChiÕn Lang	5	500000	7	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
TuyÕt vùc ChiÕn Lang	0	10	36	\spr\item\equip\horse\horse046.spr	40	2	3	TuyÕt vùc ChiÕn Lang	5	500000	8	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
TuyÕt vùc ChiÕn Lang	0	10	36	\spr\item\equip\horse\horse046.spr	40	2	3	TuyÕt vùc ChiÕn Lang	5	500000	9	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
TuyÕt vùc ChiÕn Lang	0	10	36	\spr\item\equip\horse\horse046.spr	40	2	3	TuyÕt vùc ChiÕn Lang	5	500000	10	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
Ng©n Gi¸p HuyÒn TrÖ	0	10	37	\spr\item\equip\horse\horse047.spr	40	2	3	Ng©n Gi¸p HuyÒn TrÖ	5	500000	1	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
Ng©n Gi¸p HuyÒn TrÖ	0	10	37	\spr\item\equip\horse\horse047.spr	40	2	3	Ng©n Gi¸p HuyÒn TrÖ	5	500000	2	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
Ng©n Gi¸p HuyÒn TrÖ	0	10	37	\spr\item\equip\horse\horse047.spr	40	2	3	Ng©n Gi¸p HuyÒn TrÖ	5	500000	3	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
Ng©n Gi¸p HuyÒn TrÖ	0	10	37	\spr\item\equip\horse\horse047.spr	40	2	3	Ng©n Gi¸p HuyÒn TrÖ	5	500000	4	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
Ng©n Gi¸p HuyÒn TrÖ	0	10	37	\spr\item\equip\horse\horse047.spr	40	2	3	Ng©n Gi¸p HuyÒn TrÖ	5	500000	5	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
Ng©n Gi¸p HuyÒn TrÖ	0	10	37	\spr\item\equip\horse\horse047.spr	40	2	3	Ng©n Gi¸p HuyÒn TrÖ	5	500000	6	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
Ng©n Gi¸p HuyÒn TrÖ	0	10	37	\spr\item\equip\horse\horse047.spr	40	2	3	Ng©n Gi¸p HuyÒn TrÖ	5	500000	7	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
Ng©n Gi¸p HuyÒn TrÖ	0	10	37	\spr\item\equip\horse\horse047.spr	40	2	3	Ng©n Gi¸p HuyÒn TrÖ	5	500000	8	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
Ng©n Gi¸p HuyÒn TrÖ	0	10	37	\spr\item\equip\horse\horse047.spr	40	2	3	Ng©n Gi¸p HuyÒn TrÖ	5	500000	9	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
Ng©n Gi¸p HuyÒn TrÖ	0	10	37	\spr\item\equip\horse\horse047.spr	40	2	3	Ng©n Gi¸p HuyÒn TrÖ	5	500000	10	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
ThiÕt KŞ ChiÕn M·	0	10	38	\spr\item\equip\horse\horse049.spr	40	2	3	"ThiÕt kŞ chiÕn tr­êng, v¹n tiÔn bÊt x©m"	5	500000	1	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
ThiÕt KŞ ChiÕn M·	0	10	38	\spr\item\equip\horse\horse049.spr	40	2	3	"ThiÕt kŞ chiÕn tr­êng, v¹n tiÔn bÊt x©m"	5	500000	2	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
ThiÕt KŞ ChiÕn M·	0	10	38	\spr\item\equip\horse\horse049.spr	40	2	3	"ThiÕt kŞ chiÕn tr­êng, v¹n tiÔn bÊt x©m"	5	500000	3	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
ThiÕt KŞ ChiÕn M·	0	10	38	\spr\item\equip\horse\horse049.spr	40	2	3	"ThiÕt kŞ chiÕn tr­êng, v¹n tiÔn bÊt x©m"	5	500000	4	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
ThiÕt KŞ ChiÕn M·	0	10	38	\spr\item\equip\horse\horse049.spr	40	2	3	"ThiÕt kŞ chiÕn tr­êng, v¹n tiÔn bÊt x©m"	5	500000	5	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
ThiÕt KŞ ChiÕn M·	0	10	38	\spr\item\equip\horse\horse049.spr	40	2	3	"ThiÕt kŞ chiÕn tr­êng, v¹n tiÔn bÊt x©m"	5	500000	6	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
ThiÕt KŞ ChiÕn M·	0	10	38	\spr\item\equip\horse\horse049.spr	40	2	3	"ThiÕt kŞ chiÕn tr­êng, v¹n tiÔn bÊt x©m"	5	500000	7	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
ThiÕt KŞ ChiÕn M·	0	10	38	\spr\item\equip\horse\horse049.spr	40	2	3	"ThiÕt kŞ chiÕn tr­êng, v¹n tiÔn bÊt x©m"	5	500000	8	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
ThiÕt KŞ ChiÕn M·	0	10	38	\spr\item\equip\horse\horse049.spr	40	2	3	"ThiÕt kŞ chiÕn tr­êng, v¹n tiÔn bÊt x©m"	5	500000	9	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
ThiÕt KŞ ChiÕn M·	0	10	38	\spr\item\equip\horse\horse049.spr	40	2	3	"ThiÕt kŞ chiÕn tr­êng, v¹n tiÔn bÊt x©m"	5	500000	10	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
HuyÕt VÜ Hå	0	10	39	\spr\item\equip\horse\horse050.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	1	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
HuyÕt VÜ Hå	0	10	39	\spr\item\equip\horse\horse050.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	2	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
HuyÕt VÜ Hå	0	10	39	\spr\item\equip\horse\horse050.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	3	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
HuyÕt VÜ Hå	0	10	39	\spr\item\equip\horse\horse050.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	4	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
HuyÕt VÜ Hå	0	10	39	\spr\item\equip\horse\horse050.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	5	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
HuyÕt VÜ Hå	0	10	39	\spr\item\equip\horse\horse050.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	6	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
HuyÕt VÜ Hå	0	10	39	\spr\item\equip\horse\horse050.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	7	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
HuyÕt VÜ Hå	0	10	39	\spr\item\equip\horse\horse050.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	8	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
HuyÕt VÜ Hå	0	10	39	\spr\item\equip\horse\horse050.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	9	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
HuyÕt VÜ Hå	0	10	39	\spr\item\equip\horse\horse050.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	10	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
Lôc VÜ Hå	0	10	40	\spr\item\equip\horse\horse051.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	1	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
Lôc VÜ Hå	0	10	40	\spr\item\equip\horse\horse051.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	2	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
Lôc VÜ Hå	0	10	40	\spr\item\equip\horse\horse051.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	3	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
Lôc VÜ Hå	0	10	40	\spr\item\equip\horse\horse051.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	4	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
Lôc VÜ Hå	0	10	40	\spr\item\equip\horse\horse051.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	5	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
Lôc VÜ Hå	0	10	40	\spr\item\equip\horse\horse051.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	6	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
Lôc VÜ Hå	0	10	40	\spr\item\equip\horse\horse051.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	7	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
Lôc VÜ Hå	0	10	40	\spr\item\equip\horse\horse051.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	8	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
Lôc VÜ Hå	0	10	40	\spr\item\equip\horse\horse051.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	9	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
Lôc VÜ Hå	0	10	40	\spr\item\equip\horse\horse051.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	10	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
HuyÒn Thiªn VÜ Hå	0	10	41	\spr\item\equip\horse\horse052.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	1	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
HuyÒn Thiªn VÜ Hå	0	10	41	\spr\item\equip\horse\horse052.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	2	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
HuyÒn Thiªn VÜ Hå	0	10	41	\spr\item\equip\horse\horse052.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	3	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
HuyÒn Thiªn VÜ Hå	0	10	41	\spr\item\equip\horse\horse052.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	4	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
HuyÒn Thiªn VÜ Hå	0	10	41	\spr\item\equip\horse\horse052.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	5	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
HuyÒn Thiªn VÜ Hå	0	10	41	\spr\item\equip\horse\horse052.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	6	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
HuyÒn Thiªn VÜ Hå	0	10	41	\spr\item\equip\horse\horse052.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	7	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
HuyÒn Thiªn VÜ Hå	0	10	41	\spr\item\equip\horse\horse052.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	8	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
HuyÒn Thiªn VÜ Hå	0	10	41	\spr\item\equip\horse\horse052.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	9	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
HuyÒn Thiªn VÜ Hå	0	10	41	\spr\item\equip\horse\horse052.spr	40	2	3	Hå li trong truyÒn thuyÕt	5	500000	10	0	111	100%	100%	93	1000	1000	233	500	500	150	500	500	241	10	10							36	150										
TuyÕt vùc ChiÕn Lang	0	10	42	\spr\item\equip\horse\horse046.spr	40	2	3	Ç§ÀïÑ©Æ®¹ØÉ½Íâ£¬ÍòÀï±¼ĞĞÒ»ÈÕ¼ä¡£	5	500000	1	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
TuyÕt vùc ChiÕn Lang	0	10	42	\spr\item\equip\horse\horse046.spr	40	2	3	Ç§ÀïÑ©Æ®¹ØÉ½Íâ£¬ÍòÀï±¼ĞĞÒ»ÈÕ¼ä¡£	5	500000	2	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
TuyÕt vùc ChiÕn Lang	0	10	42	\spr\item\equip\horse\horse046.spr	40	2	3	Ç§ÀïÑ©Æ®¹ØÉ½Íâ£¬ÍòÀï±¼ĞĞÒ»ÈÕ¼ä¡£	5	500000	3	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
TuyÕt vùc ChiÕn Lang	0	10	42	\spr\item\equip\horse\horse046.spr	40	2	3	Ç§ÀïÑ©Æ®¹ØÉ½Íâ£¬ÍòÀï±¼ĞĞÒ»ÈÕ¼ä¡£	5	500000	4	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
TuyÕt vùc ChiÕn Lang	0	10	42	\spr\item\equip\horse\horse046.spr	40	2	3	Ç§ÀïÑ©Æ®¹ØÉ½Íâ£¬ÍòÀï±¼ĞĞÒ»ÈÕ¼ä¡£	5	500000	5	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
TuyÕt vùc ChiÕn Lang	0	10	42	\spr\item\equip\horse\horse046.spr	40	2	3	Ç§ÀïÑ©Æ®¹ØÉ½Íâ£¬ÍòÀï±¼ĞĞÒ»ÈÕ¼ä¡£	5	500000	6	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
TuyÕt vùc ChiÕn Lang	0	10	42	\spr\item\equip\horse\horse046.spr	40	2	3	Ç§ÀïÑ©Æ®¹ØÉ½Íâ£¬ÍòÀï±¼ĞĞÒ»ÈÕ¼ä¡£	5	500000	7	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
TuyÕt vùc ChiÕn Lang	0	10	42	\spr\item\equip\horse\horse046.spr	40	2	3	Ç§ÀïÑ©Æ®¹ØÉ½Íâ£¬ÍòÀï±¼ĞĞÒ»ÈÕ¼ä¡£	5	500000	8	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
TuyÕt vùc ChiÕn Lang	0	10	42	\spr\item\equip\horse\horse046.spr	40	2	3	Ç§ÀïÑ©Æ®¹ØÉ½Íâ£¬ÍòÀï±¼ĞĞÒ»ÈÕ¼ä¡£	5	500000	9	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
TuyÕt vùc ChiÕn Lang	0	10	42	\spr\item\equip\horse\horse046.spr	40	2	3	Ç§ÀïÑ©Æ®¹ØÉ½Íâ£¬ÍòÀï±¼ĞĞÒ»ÈÕ¼ä¡£	5	500000	10	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	243	10	10				36	150										
TuyÕt vùc ChiÕn M·	0	10	43	\spr\item\equip\horse\horse045.spr	40	2	3	2020Äê¾ºÅÄÒ¹±¦¾Ô¡£ÕÑÁêÁù¿¥Ö®Ò»£¬×ÏÑà³¬Ô¾£¬¹ÇÌÚÉñ¿¥£¬ÆøÔ€Èı´¨£¬ÍşÁè°ËÕó¡£	5	500000	1	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
TuyÕt vùc ChiÕn M·	0	10	43	\spr\item\equip\horse\horse045.spr	40	2	3	2020Äê¾ºÅÄÒ¹±¦¾Ô¡£ÕÑÁêÁù¿¥Ö®Ò»£¬×ÏÑà³¬Ô¾£¬¹ÇÌÚÉñ¿¥£¬ÆøÔ€Èı´¨£¬ÍşÁè°ËÕó¡£	5	500000	2	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
TuyÕt vùc ChiÕn M·	0	10	43	\spr\item\equip\horse\horse045.spr	40	2	3	2020Äê¾ºÅÄÒ¹±¦¾Ô¡£ÕÑÁêÁù¿¥Ö®Ò»£¬×ÏÑà³¬Ô¾£¬¹ÇÌÚÉñ¿¥£¬ÆøÔ€Èı´¨£¬ÍşÁè°ËÕó¡£	5	500000	3	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
TuyÕt vùc ChiÕn M·	0	10	43	\spr\item\equip\horse\horse045.spr	40	2	3	2020Äê¾ºÅÄÒ¹±¦¾Ô¡£ÕÑÁêÁù¿¥Ö®Ò»£¬×ÏÑà³¬Ô¾£¬¹ÇÌÚÉñ¿¥£¬ÆøÔ€Èı´¨£¬ÍşÁè°ËÕó¡£	5	500000	4	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
TuyÕt vùc ChiÕn M·	0	10	43	\spr\item\equip\horse\horse045.spr	40	2	3	2020Äê¾ºÅÄÒ¹±¦¾Ô¡£ÕÑÁêÁù¿¥Ö®Ò»£¬×ÏÑà³¬Ô¾£¬¹ÇÌÚÉñ¿¥£¬ÆøÔ€Èı´¨£¬ÍşÁè°ËÕó¡£	5	500000	5	0	111	100%	100%	243	20	20	233	500	500	150	500	500	241	10	10							36	150										
